"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion_vivienda","Satisfaccion_educacion","Satisfaccion_tecnologia","Satisfaccion_trabajo","Satisfaccion_salud"
"5688",7258438,5,54.54,40,30,100,69
"5689",7258438,6,54.54,48,35,100,71
"5690",7258438,7,54.54,48,32,100,65
"5691",7258439,6,45.45,56,66,100,71
"5692",7258439,7,45.45,48,61,100,65
"5693",7258440,3,42.42,48,42,100,75
"5694",7258440,4,42.42,48,34,100,71
"5695",7258440,5,42.42,48,64,100,72.5
"5696",7258446,5,45.45,40,31,100,75
"5697",7258451,2,54.54,48,70,100,75
"5698",7258451,3,54.54,40,31,100,75
"5699",7258453,3,45.45,40,31,100,75
"5700",7258459,5,54.54,48,32,100,65
"5701",7258461,5,60.6,48,30,100,67
"5702",7258461,6,60.6,40,31,100,67
"5703",7258462,3,60.6,48,16,100,63
"5704",7258462,4,60.6,40,31,100,71
"5705",7258467,3,57.57,48,26,100,68
"5706",7258467,4,57.57,48,26,70,65
"5707",7258469,3,51.51,48,23,100,65
"5708",7258469,4,51.51,48,23,25,65
"5709",7258469,5,51.51,40,31,100,71
"5710",7258472,5,51.51,48,16,100,69
"5711",7258476,3,45.45,40,31,100,72
"5712",7258477,6,51.51,48,1,100,71
"5713",7258479,3,45.45,48,30,100,71
"5714",7258479,5,45.45,40,31,100,68.5
"5715",7258481,4,45.45,48,23,70,69
"5716",7258484,3,45.45,48,28,70,68
"5717",7258484,4,45.45,40,31,100,71
"5718",7258485,6,63.63,48,23,100,69
"5719",7258487,5,54.54,48,26,100,67
"5720",7258489,3,60.6,64,24,100,71
"5721",7258489,4,60.6,40,31,100,71
"5722",7258493,4,54.54,40,31,100,64.5
"5723",7258493,6,54.54,40,31,100,68.5
"5724",7258502,3,48.48,48,3,100,75
"5725",7258502,4,48.48,40,31,100,71
"5726",7258507,5,63.63,40,31,100,71
"5727",7258508,4,45.45,26,3,100,71
"5728",7258511,4,45.45,48,16,100,71
"5729",7258511,6,45.45,48,56,100,68
"5730",7258514,3,54.54,48,56,100,71
"5731",7258514,5,54.54,40,31,100,71
"5732",7258517,2,51.51,32,55,100,64
"5733",7258517,3,51.51,64,55,100,71
"5734",7258518,3,45.45,64,0,100,71
"5735",7258518,4,45.45,40,31,100,71
"5736",7258518,5,45.45,40,31,100,71
"5737",7258519,4,45.45,32,56,60,71
"5738",7258520,3,72.72,32,56,100,71
"5739",7258520,4,72.72,40,61,100,71
"5740",7258520,7,72.72,64,16,100,67
"5741",7258522,3,48.48,48,27,100,68
"5742",7258522,4,48.48,40,55,100,71
"5743",7258523,6,69.69,40,31,100,68
"5744",7258525,2,57.57,48,36,100,68
"5745",7258526,3,63.63,40,31,100,67
"5746",7258526,4,63.63,40,31,100,68
"5747",7258527,4,54.54,48,30,60,71
"5748",7258529,4,78.78,48,30,100,68
"5749",7258531,3,69.69,40,36,100,75
"5750",7258540,4,75.75,40,60,100,67
"5751",7258541,3,81.81,40,60,100,75
"5752",7258554,3,75.75,48,24,100,71
"5753",7258563,4,69.69,48,3,100,71
"5754",7258569,3,78.78,40,31,100,71
"5755",7258570,4,81.81,40,23,100,71
"5756",7258572,5,75.75,48,23,100,71
"5757",7258572,6,75.75,48,23,100,64.5
"5758",7258575,3,51.51,48,60,100,75
"5759",7258575,4,51.51,56,32,100,75
"5760",7258575,5,51.51,40,31,100,71
"5761",7258576,5,63.63,40,31,100,75
"5762",7258584,5,57.57,40,31,100,71
"5763",7258586,2,54.54,40,31,100,71
"5764",7258591,3,60.6,40,31,100,68
"5765",7258593,3,78.78,40,31,100,71
"5766",7258596,3,78.78,48,21,100,72
"5767",7258601,3,66.66,40,31,100,75
"5768",7258602,4,60.6,48,3,100,69
"5769",7258602,5,60.6,40,28,70,69
"5770",7258602,6,60.6,56,26,25,71
"5771",7258608,3,60.6,48,28,60,71
"5772",7258608,4,60.6,40,31,100,71
"5773",7258610,5,60.6,40,31,100,71
"5774",7258614,2,69.69,40,31,100,71
"5775",7258617,5,66.66,48,3,100,63
"5776",7258619,3,72.72,48,1,100,71
"5777",7258619,4,72.72,56,1,100,71
"5778",7258622,3,72.72,48,64,100,67
"5779",7258622,4,72.72,48,28,100,71
"5780",7258623,4,81.81,48,60,100,67
"5781",7258623,5,81.81,48,32,100,71
"5782",7258624,4,81.81,40,31,100,71
"5783",7258632,5,90.9,40,60,100,67
"5784",7258636,3,81.81,64,34,60,64.5
"5785",7258642,3,81.81,40,31,100,71
"5786",7258643,3,81.81,32,68,100,71
"5787",7258644,4,90.9,48,32,100,71
