"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion_vivienda","Satisfaccion_educacion","Satisfaccion_salud","Satisfaccion_servicios_hogar","Satisfaccion_tecnologia","Satisfaccion_composicion_hogar","satisfaccion_total"
"14961",7338828,1,78.78,60,72.5,72,3,91,9
"14962",7338831,1,78.78,60,61.5,66,36,81,9
"14963",7338833,1,87.87,60,65.5,69,36,86,10
"14964",7338840,1,54.54,44,69,69,36,58,10
"14965",7338847,4,60.6,44,63,0,36,86,10
"14966",7338850,1,51.51,44,67,69,36,86,10
"14969",7338854,2,60.6,60,71,0,23,91,7
"14971",7338855,2,60.6,60,58.5,0,23,44,9
"14972",7338857,1,60.6,60,48.5,69,3,64,9
"14973",7338857,2,60.6,44,71,0,58,91,10
"14974",7338858,1,60.6,60,72,66,23,64,9
"14975",7338858,2,60.6,60,67,0,23,91,10
"14976",7338868,1,51.51,60,74,69,54,91,8
"14977",7338868,2,51.51,60,71,0,23,38,8
"14980",7338872,5,72.72,60,67.5,0,52,81,8
"14981",7338880,1,84.84,60,72.5,69,57,38,9
"14982",7338881,1,60.6,60,66.5,69,3,91,8
"14986",7338886,4,60.6,44,63,0,31,67,6
"14987",7338888,1,51.51,60,69,67,44,50,6
"14990",7338897,2,51.51,44,68.5,0,23,91,6
"14991",7338902,2,45.45,60,66,0,57,91,7
"14995",7338905,2,45.45,60,72,0,3,91,9
"14996",7338907,1,60.6,60,71,58,64,91,9
"14997",7338907,2,60.6,60,67.5,0,71,79,10
"14998",7338908,2,45.45,60,69,0,23,91,7
"14999",7338908,7,45.45,60,68.5,0,3,91,8
"15004",7338923,1,51.51,60,67,67,3,69,8
"15005",7338924,1,45.45,60,66.5,69,23,86,10
"15008",7338937,1,33.33,60,69.5,69,3,91,10
"15009",7338937,2,33.33,60,64.5,0,3,61,10
"15010",7338950,1,42.42,60,70,63,21,54,9
"15011",7338960,1,54.54,60,71,53,23,81,10
"15012",7338960,2,54.54,60,53,0,23,35,9
"15013",7338962,1,42.42,60,71.5,48,23,87,9
"15016",7338965,2,42.42,60,63,0,23,86,10
"15017",7338972,1,39.39,60,68,57,3,91,9
"15018",7338973,1,39.39,60,62,57,23,39,10
"15019",7338973,2,39.39,44,71,0,51,64,8
"15020",7338991,1,87.87,60,75,56,52,91,8
"15021",7338991,2,87.87,60,72.5,0,51,91,8
"15022",7338992,1,84.84,60,72.5,57,3,77,9
"15023",7339003,1,72.72,44,69,59,3,91,7
"15024",7339003,2,72.72,44,70,0,3,91,9
"15025",7339004,1,87.87,60,71,60,3,81,9
"15026",7339006,1,81.81,80,71.5,53,23,91,8
"15027",7339023,4,69.69,44,71,0,36,91,9
"15028",7339024,1,69.69,60,69,63,36,76,9
"15029",7339025,1,66.66,60,71,54,31,57,8
"15031",7339028,1,63.63,60,76,60,21,86,9
"15032",7339029,1,54.54,44,72.5,54,58,91,9
"15033",7339031,1,72.72,60,75,56,62,76,9
"15035",7339057,1,27.27,60,63,51,3,41,10
"15036",7339060,1,57.57,60,73,59,31,91,9
"15037",7339060,2,57.57,60,56,0,3,55,10
"15038",7339061,1,72.72,60,69,64,23,40,9
"15044",7339092,1,24.24,44,70,67,16,59,9
"15045",7339098,1,33.33,80,70,58,23,62,10
"15046",7339101,1,66.66,60,70,53,3,91,9
"15047",7339103,5,72.72,60,67.5,0,23,91,10
"15048",7339104,2,75.75,60,72,0,3,91,10
"15051",7339116,1,40.9,60,63.5,51,3,52,9
"15052",7339127,6,30.3,60,66.5,0,3,38,9
"15053",7339132,1,28.78,60,71,58,23,91,9
"15055",7339139,1,28.78,44,68.5,72,23,91,9
"15056",7339148,1,30.3,44,69,72,23,91,10
"15059",7339153,1,36.36,44,53.5,66,23,69,9
"15060",7339155,1,31.81,60,71.5,69,23,76,10
"15063",7339156,2,31.81,44,64.5,0,23,81,2
"15064",7339157,1,31.81,60,72,66,3,86,9
"15065",7339157,2,31.81,44,68.5,0,23,91,9
"15066",7339167,2,28.78,44,77,0,3,91,10
"15070",7339182,2,42.42,44,71,0,31,91,9
"15071",7339190,1,33.33,60,61.5,69,23,77,9
"15072",7339192,1,36.36,60,67,62,3,72,10
"15074",7339196,5,27.27,44,64.5,0,3,51,8
"15075",7339199,1,27.27,60,60,64,3,25,7
"15080",7339213,2,22.72,60,74,0,36,81,8
"15081",7339237,1,31.81,44,63,69,36,91,10
"15082",7339237,2,31.81,44,66,0,23,86,9
"15083",7339239,2,31.81,60,63,0,23,81,8
"15085",7339251,1,27.27,44,66,66,3,84,6
"15086",7339255,1,54.54,80,67.5,64,3,91,7
"15087",7339257,1,60.6,60,66,67,36,62,9
"15088",7339266,1,75.75,60,68,69,23,91,9
"15089",7339275,1,72.72,60,63,69,3,78,9
"15090",7339277,1,69.69,60,75,62,54,81,9
"15091",7339279,1,81.81,60,65.5,46,60,86,8
"15093",7339281,2,69.69,80,58.5,0,61,77,0
"15094",7339285,1,75.75,60,70.5,48,36,91,9
"15095",7339285,2,75.75,60,63.5,0,23,81,9
"15096",7339288,1,54.54,60,69.5,51,3,66,10
"15097",7339294,1,66.66,60,66,51,50,59,8
"15098",7339297,1,57.57,60,74,51,3,74,9
"15100",7339299,1,66.66,60,72.5,57,23,91,9
"15101",7339300,1,69.69,60,72.5,60,64,82,9
"15102",7339305,1,81.81,80,71,56,36,76,10
"15104",7339317,2,72.72,80,75,0,44,81,9
"15106",7339323,2,51.51,60,70,0,16,57,9
"15107",7339331,1,33.33,44,68.5,62,54,91,9
"15108",7339339,1,42.42,60,71,59,59,91,9
"15109",7339356,1,36.36,60,71,61,44,71,9
"15110",7339356,2,36.36,44,72,0,66,91,9
"15113",7339385,3,63.63,60,75,0,51,81,9
"15114",7339392,3,78.78,44,75,0,51,91,9
"15115",7339393,2,81.81,100,72.5,0,23,82,8
"15116",7339423,7,78.78,60,75,0,65,91,10
"15119",7339429,1,66.66,44,69,50,3,91,8
"15120",7339432,1,72.72,100,71.5,60,3,91,8
"15121",7339432,2,72.72,100,62,51,3,76,8
"15122",7339433,1,72.72,60,67.5,58,3,60,8
"15123",7339433,2,72.72,60,69,60,3,91,8
"15124",7339435,1,63.63,60,72,57,23,91,8
"15125",7339437,1,69.69,60,67,53,3,86,8
"15128",7339442,1,66.66,60,70,58,3,79,8
"15129",7339452,2,78.78,60,72.5,0,3,91,8
"15130",7339454,1,81.81,60,71.5,66,36,91,8
"15131",7339457,1,90.9,60,72.5,60,36,91,8
"15132",7339460,1,90.9,60,70,62,3,91,9
"15135",7339470,2,65.14,60,72.5,0,3,86,9
"15136",7339473,1,69.69,44,75,37,53,91,9
"15137",7339475,1,78.78,60,75,51,3,81,9
"15138",7339479,2,78.78,44,71,0,16,91,9
"15139",7339491,1,90.9,100,68.5,41,3,91,9
"15140",7339491,3,90.9,80,72,0,23,91,9
"15143",7339502,5,69.69,60,66.5,0,23,74,9
"15144",7339508,1,90.9,60,68,66,3,76,9
"15145",7339510,1,99.99,80,62.5,62,3,91,9
"15147",7339511,2,81.81,60,62,0,23,91,9
"15148",7339512,2,81.81,60,72,0,3,76,8
"15151",7339519,1,78.78,60,71,60,23,38,9
"15154",7339525,1,63.63,60,74,55,3,50,10
"15155",7339530,1,90.9,60,70,53,3,81,9
"15156",7339530,2,90.9,60,71,0,3,30,8
"15158",7339534,1,63.63,60,68.5,58,36,76,7
"15159",7339536,1,63.63,60,51.5,57,31,67,9
"15162",7339544,1,51.51,60,70,62,23,66,8
"15167",7339564,2,57.57,60,75,0,23,50,9
"15168",7339572,1,60.6,60,58.5,49,23,81,9
"15169",7339577,1,66.66,60,71,50,23,74,9
"15170",7339586,1,42.42,60,52.5,49,3,86,9
"15171",7339588,1,54.54,60,71,45,57,76,9
"15172",7339592,1,45.45,44,69,42,56,75,9
"15173",7339602,1,36.36,44,70,36,3,76,8
"15174",7339610,1,33.33,44,70,42,54,54,9
"15177",7339636,1,42.42,60,70,43,3,81,8
"15178",7339651,1,60.6,60,64,48,3,68,9
"15182",7339672,1,45.45,44,68.5,41,3,91,9
"15183",7339683,5,36.36,60,63,0,3,86,9
"15184",7339693,1,27.27,60,64,39,23,91,9
"15186",7339705,6,69.69,60,66,0,3,86,9
"15187",7339707,1,78.78,60,67.5,49,51,76,9
"15188",7339714,2,72.72,60,71,0,36,91,9
"15189",7339729,2,68.17,60,65,0,36,86,9
"15190",7339730,1,48.48,60,65.5,54,23,74,9
"15191",7339730,3,48.48,60,59.5,0,23,91,9
"15192",7339731,1,72.72,60,63.5,56,52,71,9
"15193",7339732,1,78.78,60,68.5,52,23,91,9
"15195",7339738,1,59.08,60,72.5,45,23,91,9
"15196",7339740,1,84.84,60,75,62,44,91,9
"15198",7339745,2,54.54,60,75,0,3,91,7
"15199",7339748,2,54.54,60,72,0,23,79,9
"15200",7339749,1,57.57,60,75,69,36,81,8
"15203",7339755,5,48.48,80,71,0,3,91,8
"15205",7339761,1,63.63,80,66,69,36,66,9
"15206",7339761,4,63.63,44,72,0,16,91,9
"15209",7339775,1,49.99,60,67,69,23,81,8
"15210",7339784,1,57.57,44,71,72,36,91,8
"15211",7339787,1,57.57,44,71,69,3,62,9
"15212",7339787,2,57.57,60,71,0,16,69,9
"15213",7339795,1,66.66,60,71,69,36,64,9
"15214",7339798,1,78.78,80,61,69,16,56,8
"15215",7339801,2,66.66,60,67.5,0,59,52,9
"15216",7339805,5,66.66,60,65,0,62,59,9
"15217",7339810,1,93.93,60,67.5,67,3,62,8
"15218",7339812,5,69.69,80,68.5,0,3,65,10
"15219",7339818,2,81.81,60,68.5,0,23,81,5
"15220",7339819,1,81.81,60,68.5,69,23,86,6
"15221",7339819,2,81.81,60,68.5,0,1,71,8
"15222",7339823,1,78.78,60,70.5,67,16,51,8
"15223",7339824,1,60.6,60,67.5,67,21,86,10
"15226",7339847,1,81.81,60,71,64,3,69,9
"15227",7339858,2,72.72,60,60.5,0,3,81,9
"15228",7339860,1,81.81,60,71,66,51,54,8
"15229",7339860,2,81.81,80,57,0,3,61,6
"15230",7339863,1,84.84,60,68,67,3,71,9
"15231",7339864,1,81.81,60,63,67,3,62,8
"15232",7339864,2,81.81,60,72,0,16,76,7
"15233",7339887,1,81.81,80,67,64,3,81,6
"15236",7339904,1,87.87,44,66,67,3,76,9
"15237",7339908,1,78.78,44,66,67,3,76,8
"15239",7339920,1,81.81,60,66.5,64,3,76,8
"15240",7339922,1,45.45,80,67,60,3,66,8
"15241",7339931,1,66.66,60,68,62,36,76,8
"15244",7339934,2,81.81,60,62.5,0,3,72,10
"15245",7339937,1,72.72,44,67.5,36,3,75,7
"15246",7339948,1,33.33,60,71,66,3,81,8
"15247",7339949,1,45.45,60,68,64,3,62,9
"15248",7339956,1,45.45,44,55,67,16,69,9
"15250",7339963,2,45.45,60,76,0,23,91,9
"15251",7339966,1,33.33,60,69.5,53,3,91,9
"15252",7339968,1,42.42,60,63.5,47,3,78,9
"15255",7339983,1,42.42,60,71,48,3,91,5
"15256",7339984,1,51.51,60,70,60,3,91,0
"15258",7339989,1,42.42,44,72.5,60,16,91,5
"15259",7339995,1,36.36,44,72,59,16,81,10
"15260",7339997,1,36.36,60,66.5,59,3,91,5
"15261",7339997,2,36.36,60,58,0,3,69,8
"15262",7340000,1,36.36,44,71.5,47,16,75,8
"15263",7340011,1,36.36,60,72.5,67,3,67,5
"15264",7340014,1,36.36,60,71.5,69,3,86,8
"15265",7340014,2,36.36,60,75,0,57,91,8
"15267",7340017,1,60.6,44,72.5,65,16,71,9
"15268",7340032,1,60.6,60,67.5,65,16,45,9
"15269",7340038,1,36.36,60,64.5,69,55,86,8
"15270",7340040,1,45.45,60,62.5,50,3,87,8
"15271",7340044,1,36.36,60,66,60,36,91,8
"15272",7340046,1,69.69,44,66,57,44,91,8
"15276",7340053,1,90.9,60,72.5,54,21,86,8
"15278",7340058,2,90.9,44,68,0,23,64,9
"15279",7340059,1,90.9,60,69.5,69,21,91,9
"15283",7340070,1,81.81,60,66,66,56,81,8
"15284",7340071,2,90.9,60,69.5,0,3,91,9
"15285",7340072,1,90.9,60,61.5,65,23,76,8
"15287",7340089,1,54.54,100,59.5,66,3,54,8
"15288",7340093,1,51.51,60,69.5,69,23,91,8
"15289",7340095,1,54.54,60,71,69,3,91,5
"15290",7340115,4,63.63,60,55.5,0,3,91,10
"15291",7340117,1,49.99,44,67,67,37,79,10
"15292",7340117,2,49.99,44,65,0,3,71,10
"15293",7340124,1,81.81,60,68.5,66,3,86,10
"15294",7340125,1,69.69,60,64.5,64,50,71,10
"15295",7340125,2,69.69,60,58.5,0,3,54,9
"15296",7340127,1,69.69,60,60.5,66,3,81,9
"15297",7340129,1,66.66,44,75,69,16,91,8
"15298",7340134,1,72.72,44,63.5,69,3,55,9
"15300",7340136,1,72.72,60,64,66,31,91,10
"15301",7340141,1,42.42,60,71,69,31,91,8
"15302",7340141,3,42.42,60,67,0,56,50,8
"15303",7340141,4,42.42,44,71.5,0,3,91,8
"15304",7340143,1,36.36,60,72,34,23,86,7
"15305",7340143,2,36.36,60,68,0,57,79,8
"15306",7340153,1,75.75,44,64,36,23,76,8
"15307",7340153,2,75.75,60,67,0,23,81,9
"15308",7340155,1,75.75,44,56.5,62,44,76,8
"15309",7340157,1,69.69,60,67.5,53,31,91,8
"15310",7340157,2,69.69,60,75,0,44,91,8
"15311",7340162,4,75.75,44,67,0,36,91,9
"15312",7340163,1,69.69,80,75,52,23,91,8
"15313",7340165,5,69.69,80,67.5,0,3,86,7
"15314",7340165,6,69.69,80,45,0,3,74,8
"15315",7340169,1,75.75,60,67,62,3,91,7
"15316",7340178,1,33.33,60,61.5,65,23,91,9
"15317",7340180,1,30.3,60,58.5,63,3,33,9
"15318",7340180,2,30.3,60,67,0,23,87,10
"15319",7340184,1,39.39,60,69.5,63,21,91,10
"15320",7340186,1,42.42,60,67,62,3,86,10
"15321",7340186,2,42.42,60,68.5,0,55,77,10
"15322",7340187,1,33.33,60,59,41,3,81,10
"15323",7340192,1,60.6,60,72.5,39,3,81,9
"15324",7340192,2,60.6,44,65.5,40,23,62,9
"15325",7340194,1,54.54,60,71,49,3,28,8
"15326",7340198,6,57.57,60,72,0,3,52,8
"15327",7340199,4,45.45,60,65.5,0,51,65,5
"15328",7340206,1,48.48,60,67,47,36,71,7
"15329",7340206,2,48.48,60,67,0,36,30,6
"15330",7340207,1,57.57,60,68.5,47,16,91,9
"15331",7340210,1,42.42,60,71,63,29,45,8
"15332",7340211,1,33.33,80,73,62,23,44,9
"15333",7340212,9,51.51,60,72,0,36,91,9
"15336",7340219,1,63.63,60,75,48,31,91,9
"15337",7340219,2,63.63,60,72.5,0,16,44,10
"15338",7340220,1,66.66,60,75,46,36,38,10
"15339",7340225,1,39.39,60,71.5,44,23,76,10
"15341",7340229,1,66.66,44,71,51,23,91,9
"15342",7340242,1,66.66,44,55.5,62,23,50,8
"15343",7340251,1,57.57,60,69,50,16,91,8
"15344",7340255,1,51.51,60,72.5,63,23,33,8
"15345",7340256,1,51.51,60,71.5,48,23,50,9
"15346",7340257,5,60.6,44,70,0,23,69,9
"15347",7340260,1,57.57,60,71,64,23,91,9
"15348",7340262,2,51.51,60,75,0,3,91,9
"15351",7340265,1,48.48,60,70,53,21,42,9
"15352",7340265,2,48.48,60,53,0,23,33,8
"15353",7340271,1,69.69,60,64.5,59,21,43,9
"15354",7340275,1,78.78,60,64.5,56,23,66,10
"15355",7340277,1,75.75,60,64.5,49,23,47,10
"15356",7340277,2,75.75,80,71,0,3,71,10
"15357",7340278,1,78.78,60,70,47,44,67,9
"15358",7340278,2,78.78,60,59.5,0,23,58,9
"15359",7340280,1,84.84,60,71,35,3,91,8
"15360",7340280,2,84.84,60,70,0,3,69,8
"15362",7340283,1,75.75,60,65.5,59,36,81,10
"15363",7340283,2,75.75,60,68.5,0,16,91,8
"15364",7340287,1,81.81,80,66,59,3,76,8
"15365",7340288,8,63.63,44,72,0,3,74,8
"15366",7340289,1,90.9,60,69.5,52,23,81,8
"15367",7340289,2,90.9,60,66.5,0,3,74,10
"15368",7340294,1,63.63,44,67,50,3,79,10
"15370",7340308,2,45.45,60,71,0,3,91,9
"15371",7340309,1,48.48,44,71,64,21,86,8
"15372",7340309,2,48.48,44,71,0,52,86,8
"15373",7340311,6,36.36,44,71,0,21,81,8
"15375",7340314,2,57.57,60,57,0,52,77,8
"15376",7340318,1,81.81,80,67,55,52,86,8
"15377",7340328,1,87.87,44,66,65,54,86,9
"15378",7340332,1,90.9,60,64,63,52,70,9
"15380",7340334,2,90.9,60,64,55,44,69,10
"15381",7340336,1,81.81,44,67,51,56,65,10
"15384",7340337,2,90.9,60,64,0,23,86,7
"15385",7340351,2,81.81,44,71,0,61,77,5
"15386",7340353,2,90.9,60,71,0,23,64,8
"15387",7340354,2,90.9,44,68.5,0,54,91,8
"15388",7340361,1,90.9,60,56.5,64,3,43,8
"15391",7340367,1,90.9,100,66,57,23,86,8
"15393",7340367,4,90.9,80,50.5,0,23,91,5
"15394",7340370,3,81.81,60,59.5,0,3,34,5
"15395",7340371,3,81.81,60,66.5,0,23,81,8
"15396",7340372,1,90.9,60,57,60,44,57,8
"15397",7340372,2,90.9,80,65.5,0,3,91,7
"15400",7340373,2,81.81,80,63.5,0,52,91,6
"15401",7340374,1,90.9,80,65.5,51,51,69,9
"15402",7340374,2,90.9,60,68.5,0,52,86,8
"15403",7340374,3,90.9,44,75,0,52,69,10
"15404",7340375,1,81.81,100,66.5,65,52,86,9
"15405",7340375,2,81.81,100,71,0,36,65,10
"15407",7340377,1,90.9,60,59,49,23,91,7
"15409",7340380,1,90.9,80,66.5,60,56,81,10
"15410",7340381,1,90.9,80,71,59,21,52,7
"15411",7340382,1,81.81,60,66,55,56,38,7
"15412",7340382,2,81.81,80,66,0,44,37,8
"15413",7340383,2,81.81,60,69,0,23,45,8
"15415",7340400,2,81.81,60,60.5,0,52,91,8
"15416",7340407,1,78.78,60,53.5,41,21,57,8
"15418",7340418,2,69.69,80,71,0,23,50,10
"15419",7340420,1,84.84,60,67,46,3,76,8
"15420",7340420,2,84.84,60,67,0,55,91,10
"15422",7340424,1,72.72,80,67,46,56,91,7
"15423",7340433,1,60.6,60,67,58,36,91,8
"15424",7340433,2,60.6,60,61,0,36,69,9
"15425",7340437,1,45.45,60,68,61,3,91,9
"15426",7340438,1,45.45,60,67,55,23,91,10
"15428",7340444,2,57.57,44,70,0,0,91,6
"15429",7340445,1,60.6,60,71.5,56,23,71,6
"15430",7340445,2,60.6,60,71,0,3,38,6
"15431",7340450,1,60.6,60,67,67,23,81,4
"15432",7340451,1,72.72,80,65.5,53,3,91,6
"15433",7340452,1,51.51,60,61.5,48,3,82,7
"15437",7340466,1,51.51,60,62,59,23,57,10
"15438",7340466,2,51.51,60,68,63,23,91,9
"15441",7340477,1,75.75,80,41,34,3,48,10
"15442",7340481,1,84.84,60,68,34,23,91,10
"15443",7340481,2,84.84,44,68.5,0,23,87,8
"15444",7340483,1,81.81,60,71,34,3,82,7
"15447",7340493,1,60.6,44,68,34,23,91,6
"15448",7340493,2,60.6,44,70,0,3,45,8
"15449",7340494,1,39.39,60,67,0,23,91,6
"15450",7340496,1,42.42,44,71,34,23,38,5
"15451",7340498,1,81.81,60,71,34,36,81,8
"15452",7340499,2,78.78,60,71,0,23,69,10
"15453",7340501,1,54.54,44,75,36,23,33,7
"15454",7340502,1,48.48,44,74,36,23,72,7
"15455",7340502,2,48.48,44,71,0,21,81,7
"15458",7340506,1,57.57,44,71,34,23,91,6
"15459",7340511,1,27.27,60,71,34,23,38,5
"15462",7340514,2,45.45,44,60.5,0,52,76,10
"15463",7340516,6,30.3,60,63.5,0,52,91,10
"15464",7340518,5,54.54,44,67,0,23,91,10
"15465",7340524,1,54.54,60,55,34,23,71,8
"15466",7340527,1,54.54,44,64,36,36,81,10
"15467",7340527,2,54.54,44,65,0,23,91,10
"15470",7340535,2,81.81,100,71,0,23,91,10
"15471",7340535,4,81.81,80,71,0,51,91,9
"15472",7340538,1,78.78,60,67.5,36,27,81,6
"15473",7340539,1,84.84,60,71,36,3,91,8
"15474",7340539,2,84.84,60,71,0,3,91,7
"15478",7340549,1,75.75,60,75,66,31,91,10
"15480",7340554,4,81.81,60,68.5,0,23,33,10
"15481",7340561,3,57.57,44,71,0,51,86,10
"15482",7340567,2,33.33,60,63,0,31,71,10
"15484",7340571,1,63.63,60,68,60,3,57,10
"15485",7340574,3,60.6,60,70.5,0,3,76,10
"15486",7340575,1,63.63,80,64.5,58,23,67,10
"15487",7340575,2,63.63,100,55,0,23,64,10
"15488",7340577,1,72.72,80,73,57,23,91,8
"15489",7340578,1,72.72,60,72.5,64,29,91,10
"15490",7340594,2,78.78,60,66,0,31,91,10
"15491",7340600,4,69.69,60,75,0,23,81,10
"15492",7340608,1,51.51,60,70,64,3,82,10
"15493",7340611,1,81.81,80,64,54,3,91,10
"15494",7340613,1,51.51,80,69,59,51,38,10
"15496",7340615,1,60.6,60,68.5,68,51,50,10
"15497",7340615,2,60.6,60,71,0,31,81,8
"15498",7340624,1,51.51,60,71,44,3,38,9
"15499",7340626,1,90.9,60,66,44,31,66,9
"15500",7340627,1,75.75,60,71,36,31,67,10
"15501",7340628,1,93.93,60,71,52,31,71,8
"15502",7340628,2,93.93,60,71,0,23,50,10
"15504",7340632,1,36.36,60,66.5,52,23,49,8
"15505",7340633,1,36.36,44,56.5,47,23,45,8
"15506",7340639,1,51.51,60,66,46,44,71,10
"15507",7340639,2,51.51,60,71,0,23,76,10
"15508",7340644,1,72.72,60,69,47,44,81,10
"15509",7340644,2,72.72,60,68.5,0,23,81,10
"15510",7340645,1,45.45,60,61.5,60,31,91,10
"15511",7340647,1,33.33,44,68.5,60,23,81,10
"15514",7340653,2,42.42,60,64,0,44,33,7
"15515",7340654,1,72.72,60,68.5,58,23,86,8
"15516",7340655,1,51.51,60,66.5,65,31,43,8
"15519",7340663,1,36.36,60,73,68,36,91,10
"15520",7340675,1,54.54,60,68.5,69,3,91,10
"15523",7340676,2,60.6,60,68.5,0,23,91,8
"15524",7340679,2,60.6,60,71,0,54,35,0
"15525",7340684,1,60.6,60,69,51,23,91,8
"15526",7340684,2,60.6,60,61.5,0,3,38,6
"15528",7340685,2,63.63,60,68,0,23,71,8
"15529",7340688,1,60.6,80,71,49,36,91,8
"15532",7340690,1,60.6,60,68.5,34,3,79,10
"15533",7340694,1,57.57,44,68.5,34,23,67,10
"15534",7340696,2,60.6,60,62,0,44,76,10
"15536",7340700,1,51.51,60,65.5,32,23,86,10
"15537",7340700,2,51.51,60,68,0,3,91,10
"15538",7340705,1,63.63,60,73,34,23,91,10
"15539",7340705,2,63.63,44,63,0,36,43,10
"15540",7340706,1,63.63,80,63,61,50,35,10
"15541",7340711,1,60.6,60,65.5,63,36,38,10
"15543",7340718,1,60.6,80,58,46,23,38,10
"15544",7340728,1,60.6,60,66,40,23,62,10
"15545",7340728,2,60.6,60,68,0,23,76,10
"15546",7340736,1,54.54,44,68,34,23,43,10
"15547",7340744,2,69.69,44,55.5,0,36,22,9
"15548",7340746,1,81.81,80,70,45,52,45,8
"15550",7340748,2,78.78,60,66.5,0,60,49,10
"15551",7340750,1,69.69,60,65.5,62,4,50,10
"15552",7340752,1,69.69,60,69,64,31,55,10
"15553",7340752,2,69.69,60,71,0,3,53,9
"15554",7340756,1,72.72,60,69,48,23,38,9
"15555",7340757,1,66.66,60,68,35,1,72,10
"15556",7340759,1,72.72,60,68.5,54,21,66,10
"15557",7340759,2,72.72,60,58,0,1,38,10
"15558",7340762,1,63.63,60,68.5,69,21,91,10
"15560",7340768,1,81.81,60,63,67,1,86,10
"15561",7340768,2,81.81,60,66,0,21,86,8
"15564",7340786,2,63.63,60,66,0,33,86,10
"15565",7340789,1,45.45,60,71,34,23,76,10
"15566",7340791,1,54.54,60,71,44,3,86,10
"15568",7340796,1,69.69,44,71,41,54,91,8
"15569",7340801,1,72.72,60,65,41,54,31,8
"15571",7340802,1,60.6,60,69.5,42,23,61,8
"15572",7340802,2,60.6,60,61,0,3,77,8
"15573",7340805,1,57.57,60,69,61,55,79,7
"15574",7340810,1,69.69,60,73.5,61,3,25,8
"15576",7340815,1,81.81,60,68,61,3,70,10
"15577",7340816,1,81.81,60,71.5,48,56,91,9
"15578",7340816,2,81.81,60,67.5,0,3,81,10
"15579",7340822,1,81.81,60,66,61,31,91,10
"15580",7340824,1,81.81,60,58,62,62,28,7
"15581",7340824,2,81.81,60,67.5,0,53,86,8
"15585",7340832,1,45.45,60,67,58,3,91,10
"15586",7340832,2,45.45,60,68,0,82,26,10
"15587",7340834,1,36.36,60,69,43,54,42,9
"15588",7340834,2,36.36,60,60.5,0,79,79,8
"15589",7340840,1,27.27,60,67,57,76,91,10
"15590",7340841,1,42.42,60,62.5,61,66,42,8
"15591",7340842,1,45.45,60,60.5,61,3,69,9
"15592",7340842,2,45.45,60,54,0,23,86,7
"15593",7340843,1,45.45,60,64.5,57,70,33,8
"15594",7340844,1,54.54,60,59,50,73,30,7
"15595",7340845,1,45.45,60,59.5,67,64,64,7
"15598",7340848,1,45.45,60,64,66,55,74,10
"15599",7340852,1,45.45,60,63.5,66,56,86,10
"15601",7340856,1,63.63,60,67.5,68,31,91,10
"15602",7340857,1,42.42,60,62.5,68,36,71,10
"15603",7340858,2,36.36,60,67,0,23,81,10
"15604",7340860,1,45.45,60,69.5,66,23,72,10
"15606",7340861,1,51.51,60,68.5,67,54,86,10
"15607",7340861,2,51.51,60,65.5,0,52,91,8
"15608",7340863,1,45.45,60,71,66,23,91,10
"15609",7340864,1,45.45,60,73,69,36,91,8
"15610",7340866,1,45.45,60,69,67,52,91,10
"15611",7340867,1,42.42,60,63.5,69,52,48,7
"15612",7340868,1,45.45,60,70.5,66,65,67,8
"15613",7340868,2,45.45,60,71,0,65,91,8
"15614",7340869,1,45.45,60,61.5,69,23,81,0
"15615",7340869,2,45.45,60,68,0,50,81,10
"15616",7340884,1,81.81,60,68.5,69,21,91,10
"15617",7340885,4,81.81,60,56.5,0,16,49,9
"15618",7340889,1,63.63,60,68.5,66,16,86,8
"15619",7340891,1,45.45,60,59,69,16,0,9
"15620",7340891,2,45.45,60,65.5,0,58,71,9
"15621",7340902,1,42.42,60,68,69,72,38,10
"15622",7340903,1,51.51,60,67,69,52,61,3
"15627",7340912,1,63.63,60,68.5,65,23,91,10
"15628",7340914,1,72.72,60,68.5,69,72,55,5
"15629",7340917,4,78.78,44,63.5,0,3,45,7
"15632",7340920,3,90.9,60,61.5,0,44,28,3
"15633",7340922,1,75.75,80,64,66,36,76,3
"15634",7340923,1,75.75,60,68,67,4,91,8
"15635",7340931,1,81.81,60,64,62,36,61,10
"15636",7340934,1,75.75,60,61.5,66,58,61,10
"15637",7340937,4,81.81,60,71,0,23,54,10
"15639",7340942,6,90.9,60,62.5,0,36,55,9
"15640",7340943,7,90.9,60,70.5,0,36,86,8
"15641",7340947,1,72.72,60,71,60,16,86,7
"15644",7340961,1,81.81,80,64.5,60,21,76,10
"15645",7340961,2,81.81,80,63,0,23,76,10
"15648",7340963,2,81.81,80,66.5,0,3,91,9
"15649",7340964,1,81.81,80,74,55,56,82,10
"15650",7340964,2,81.81,60,72,0,21,18,10
"15651",7340965,1,81.81,100,73,64,52,74,10
"15652",7340967,1,81.81,60,75,57,52,76,10
"15653",7340967,2,81.81,60,68,0,3,40,10
"15654",7340973,1,54.54,60,75,60,3,65,10
"15655",7340973,2,54.54,44,71,0,36,38,10
"15656",7340977,1,63.63,60,75,64,3,77,8
"15657",7340981,1,81.81,80,75,54,1,53,5
"15658",7340981,2,81.81,80,70,0,36,91,10
"15661",7340986,2,63.63,60,75,0,31,77,10
"15662",7340994,1,63.63,60,74,59,61,82,10
