"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion_vivienda","Satisfaccion_educacion","Satisfaccion_salud","Satisfaccion_servicios_hogar","Satisfaccion_tecnologia","Satisfaccion_composicion_hogar","satisfaccion_total"
"9328",7323481,2,69.69,60,70,0,23,91,6
"9329",7323482,1,84.84,60,62,60,23,91,7
"9331",7323483,1,78.78,60,68,60,23,79,6
"9332",7323483,2,78.78,44,63,0,1,64,4
"9333",7323483,5,78.78,44,65,0,36,66,9
"9334",7323484,2,78.78,60,68.5,0,23,59,7
"9335",7323485,1,45.45,60,55.5,67,44,91,9
"9336",7323485,2,45.45,60,59.5,0,53,83,10
"9338",7323495,1,54.54,44,64,57,21,59,9
"9339",7323496,1,51.51,60,61,52,53,76,8
"9340",7323500,1,45.45,60,74,60,36,91,8
"9341",7323500,2,45.45,60,63.5,0,36,64,9
"9342",7323502,1,51.51,60,65.5,55,3,82,9
"9343",7323503,1,54.54,60,69.5,43,53,72,9
"9344",7323503,2,54.54,60,65.5,0,23,87,8
"9347",7323509,1,42.42,44,73,56,3,51,6
"9348",7323511,1,36.36,44,65.5,61,36,79,9
"9351",7323513,2,51.51,60,59,0,3,28,10
"9352",7323516,1,51.51,60,54.5,56,3,28,9
"9353",7323516,2,51.51,60,61,0,23,59,8
"9354",7323517,1,42.42,60,72,47,59,91,9
"9355",7323518,1,33.33,44,67,52,36,74,6
"9357",7323521,1,54.54,60,70,56,31,74,9
"9358",7323522,1,45.45,60,62.5,51,3,86,10
"9359",7323523,1,63.63,60,66,57,51,86,10
"9362",7323526,1,60.6,60,54,52,1,41,10
"9363",7323528,1,54.54,60,69.5,59,21,60,10
"9366",7323539,2,75.75,60,64.5,0,36,57,10
"9367",7323542,1,75.75,80,66,55,23,91,9
"9368",7323542,2,75.75,60,55.5,0,23,60,9
"9369",7323543,1,75.75,60,51.5,69,23,15,6
"9370",7323547,1,78.78,60,71,69,3,67,9
"9371",7323548,1,75.75,60,68.5,69,56,43,9
"9372",7323548,2,75.75,60,68.5,0,31,71,10
"9373",7323550,1,84.84,60,62.5,67,23,33,10
"9374",7323551,1,72.72,60,62.5,70,57,30,8
"9375",7323553,1,72.72,60,63,69,21,62,8
"9376",7323555,1,66.66,60,55.5,65,21,50,9
"9378",7323556,2,60.6,60,70,0,23,54,10
"9379",7323561,1,90.9,60,58,67,52,45,10
"9380",7323562,1,81.81,60,65.5,65,23,57,10
"9381",7323563,1,81.81,60,68.5,66,53,60,8
"9382",7323565,1,81.81,60,63,69,23,46,10
"9383",7323565,2,81.81,60,70,0,56,67,9
"9384",7323574,1,81.81,80,71,69,21,23,9
"9385",7323575,1,78.78,80,64,68,3,76,9
"9388",7323581,2,81.81,60,71,0,36,81,10
"9389",7323583,1,81.81,60,62.5,45,3,71,10
"9391",7323584,1,78.78,60,65,51,3,86,9
"9392",7323584,2,78.78,60,71,0,3,45,9
"9393",7323588,3,75.75,44,60,0,23,34,8
"9394",7323589,1,78.78,60,65.5,51,23,86,10
"9395",7323590,4,75.75,60,67.5,0,23,86,10
"9396",7323591,1,60.6,60,68.5,72,23,81,10
"9397",7323591,2,60.6,60,61.5,0,58,54,10
"9398",7323592,2,66.66,60,71,0,36,86,10
"9399",7323597,1,78.78,60,68.5,69,36,62,7
"9400",7323597,2,78.78,60,71.5,0,16,71,7
"9401",7323601,1,78.78,60,68,69,36,38,7
"9403",7323603,2,75.75,60,56.5,0,44,23,10
"9404",7323605,1,81.81,60,63.5,53,3,72,10
"9407",7323610,2,84.84,60,69,49,23,43,8
"9410",7323612,2,81.81,60,75,0,23,38,8
"9411",7323613,5,87.87,60,71,0,23,81,6
"9412",7323615,1,81.81,60,73,52,36,87,10
"9413",7323620,3,78.78,60,70.5,0,16,38,10
"9414",7323621,1,72.72,60,68,56,23,83,10
"9417",7323632,1,75.75,44,71,49,23,81,9
"9418",7323632,2,75.75,60,71,0,23,76,6
"9419",7323637,1,81.81,60,65.5,54,21,76,7
"9421",7323646,1,81.81,60,60.5,60,3,60,8
"9422",7323646,2,81.81,44,63.5,0,52,43,6
"9423",7323647,1,81.81,100,61,48,31,79,8
"9424",7323647,5,81.81,60,63,0,44,86,9
"9425",7323649,1,51.51,60,65.5,51,44,79,10
"9427",7323657,2,51.51,60,71,0,53,76,9
"9428",7323658,1,51.51,60,59.5,52,23,43,7
"9429",7323664,1,60.6,60,65.5,48,23,91,8
"9430",7323664,2,60.6,60,67.5,0,36,64,7
"9431",7323665,1,60.6,60,56.5,65,23,70,7
"9432",7323665,2,60.6,44,72.5,0,23,86,10
"9433",7323670,1,54.54,60,74,65,23,91,10
"9434",7323671,1,45.45,60,60.5,67,61,76,9
"9435",7323677,1,54.54,60,69,69,53,86,10
"9438",7323680,1,45.45,44,70.5,61,53,79,9
"9439",7323680,2,45.45,60,63,0,3,66,7
"9440",7323681,1,54.54,44,70,64,23,91,7
"9443",7323687,1,54.54,60,71,53,53,71,10
