"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion"
"217",7247907,1,60
"218",7247909,3,60
"219",7247915,1,44
"220",7247922,1,44
"221",7247926,1,60
"222",7247927,1,60
"223",7247930,1,60
"224",7247930,2,44
"225",7247931,1,60
"226",7247932,1,60
"227",7247937,1,44
"228",7247938,1,60
"229",7247938,2,60
"230",7247940,1,60
"231",7247940,3,60
"232",7247944,1,44
"233",7247950,1,44
"234",7247954,1,44
"235",7247956,1,44
"236",7247958,1,60
"237",7247958,2,60
"238",7247959,4,60
"239",7247962,3,60
"240",7247963,1,60
"241",7247978,1,60
"242",7247979,1,80
"243",7247979,2,60
"244",7247980,1,60
"245",7247980,2,44
"246",7247982,1,80
"247",7247986,1,60
"248",7247987,1,44
"249",7247987,2,44
"250",7247993,1,60
"251",7247994,1,60
"252",7247994,2,60
"253",7247998,7,60
"254",7248000,1,60
"255",7248000,2,60
"256",7248003,1,60
"257",7248003,2,60
"258",7248004,1,60
"259",7248004,2,44
"260",7248007,1,44
"261",7248009,1,60
"262",7248009,2,60
"263",7248019,1,60
"264",7248022,1,44
"265",7248022,2,44
"266",7248025,1,60
"267",7248025,2,60
"268",7248033,1,60
"269",7248035,1,44
"270",7248039,1,60
"271",7248048,1,60
"272",7248048,2,60
"273",7248049,1,60
"274",7248063,1,60
"275",7248063,2,60
"276",7248064,1,60
"277",7248064,2,60
"278",7248066,1,60
"279",7248068,1,44
"280",7248088,1,60
"281",7248088,2,44
"282",7248090,1,44
"283",7248090,2,44
"284",7248094,2,44
"285",7248094,3,44
"286",7248094,4,44
"287",7248097,1,44
"288",7248101,1,60
"289",7248101,2,60
"290",7248108,2,44
"291",7248111,1,44
"292",7248111,2,60
"293",7248112,3,44
"294",7248115,1,44
"295",7248115,2,44
"296",7248117,1,60
"297",7248117,2,60
"298",7248117,3,44
"299",7248121,1,80
"300",7248125,1,60
"301",7248125,2,60
"302",7248126,1,60
"303",7248127,2,60
"304",7248138,1,60
"305",7248142,2,60
"306",7248144,1,60
"307",7248144,2,60
"308",7248147,2,80
"309",7248171,1,60
"310",7248172,4,60
"311",7248173,5,60
"312",7248174,1,60
"313",7248174,2,60
"314",7248176,1,60
"315",7248177,1,60
"316",7248177,2,60
"317",7248179,4,60
"318",7248183,1,60
"319",7248185,1,44
"320",7248185,2,60
"321",7248187,3,60
"322",7248191,1,60
"323",7248195,1,60
"324",7248198,1,60
"325",7248198,2,60
"326",7248206,1,60
"327",7248206,2,60
"328",7248225,1,60
"329",7248229,1,60
"330",7248229,2,60
"331",7248232,1,80
"332",7248232,2,60
"333",7248234,2,60
"334",7248242,5,60
"335",7248243,1,60
"336",7248243,2,60
"337",7248247,5,60
"338",7248250,1,60
"339",7248250,2,60
"340",7248253,1,60
"341",7248253,2,44
"342",7248264,1,60
"343",7248266,1,60
"344",7248266,2,60
"345",7248269,1,60
"346",7248270,1,100
"347",7248272,1,60
"348",7248280,5,60
"349",7248287,1,60
"350",7248288,2,60
"351",7248291,1,60
"352",7248304,1,60
"353",7248304,2,60
"354",7248310,1,60
"355",7248314,1,100
"356",7248315,1,60
"357",7248322,2,60
"358",7248334,1,60
"359",7248334,2,44
"360",7248339,1,60
"361",7248340,9,44
"362",7248342,7,60
"363",7248343,1,100
"364",7248343,2,60
"365",7248344,1,60
"366",7248345,1,60
"367",7248345,2,60
"368",7248347,1,60
"369",7248348,1,60
"370",7248356,1,60
"371",7248364,1,60
"372",7248366,1,60
"373",7248367,1,60
"374",7248374,1,60
"375",7248378,1,60
"376",7248381,1,60
"377",7248383,1,60
"378",7248385,1,60
"379",7248385,2,60
"380",7248385,5,60
"381",7248388,1,44
"382",7248388,2,44
"383",7248391,1,60
"384",7248395,1,60
"385",7248398,1,60
"386",7248398,2,60
"387",7248403,5,60
"388",7248408,1,60
"389",7248412,4,60
"390",7248413,4,60
"391",7248419,1,60
"392",7248423,1,44
"393",7248427,1,80
"394",7248430,1,60
"395",7248430,2,60
"396",7248431,1,60
"397",7248433,4,60
"398",7248437,1,60
"399",7248438,4,60
"400",7248443,1,60
"401",7248445,1,80
"402",7248455,4,60
"403",7248462,1,60
"404",7248465,1,60
"405",7248466,1,44
"406",7248466,2,44
"407",7248468,1,60
"408",7248469,1,60
"409",7248470,2,60
"410",7248473,1,60
"411",7248490,1,60
"412",7248490,2,60
"413",7248491,1,60
"414",7248491,2,60
"415",7248492,1,60
"416",7248493,1,60
"417",7248498,2,60
"418",7248502,1,60
"419",7248502,2,60
"420",7248504,1,60
"421",7248504,2,60
"422",7248505,1,80
"423",7248505,2,60
"424",7248507,5,60
"425",7248514,1,100
"426",7248522,1,60
"427",7248527,1,60
"428",7248528,1,60
"429",7248532,1,60
"430",7248533,1,44
"431",7248534,1,60
"432",7248538,1,60
"433",7248538,2,44
"434",7248539,1,60
"435",7248540,1,44
"436",7248541,1,60
"437",7248541,2,60
"438",7248542,1,60
"439",7248542,2,60
"440",7248545,1,60
"441",7248545,2,60
"442",7248550,1,60
"443",7248552,2,60
"444",7248554,1,60
"445",7248554,2,60
"446",7248556,1,60
"447",7248557,1,80
"448",7248557,2,80
"449",7248559,1,60
"450",7248561,1,60
"451",7248561,2,60
"452",7248563,2,60
"453",7248564,1,60
"454",7248566,5,60
"455",7248567,1,60
"456",7248567,2,60
"457",7248568,1,60
"458",7248568,2,60
"459",7248571,5,60
"460",7248572,1,60
"461",7248574,1,44
"462",7248575,1,60
"463",7248575,2,60
"464",7248578,1,60
"465",7248579,1,60
"466",7248580,1,60
"467",7248580,2,60
"468",7248582,1,60
"469",7248583,1,60
"470",7248591,1,60
"471",7248591,2,60
"472",7248593,2,44
"473",7248593,3,44
"474",7248596,2,60
"475",7248598,1,60
"476",7248598,2,60
"477",7248600,1,60
"478",7248601,1,60
"479",7248601,2,44
"480",7248602,1,60
"481",7248602,2,60
"482",7248603,1,60
"483",7248603,2,60
"484",7248604,1,60
"485",7248604,2,60
"486",7248604,4,60
"487",7248606,1,44
"488",7248609,1,60
"489",7248610,1,60
"490",7248610,2,60
"491",7248611,1,60
"492",7248611,2,60
"493",7248618,1,60
"494",7248619,1,60
"495",7248621,1,80
"496",7248623,1,60
"497",7248623,2,60
"498",7248624,1,44
"499",7248625,1,60
"500",7248626,1,60
"501",7248626,2,60
"502",7248634,1,44
"503",7248635,1,44
"504",7248635,2,44
"505",7248637,1,60
"506",7248640,1,60
"507",7248640,2,60
"508",7248641,1,44
"509",7248641,2,44
"510",7248646,1,60
"511",7248646,2,60
"512",7248648,2,60
"513",7248651,1,44
"514",7248654,1,44
"515",7248655,1,44
"516",7248656,1,60
"517",7248657,1,60
"518",7248661,1,44
"519",7248663,1,60
"520",7248663,2,60
"521",7248664,1,60
"522",7248666,2,60
"523",7248667,1,60
"524",7248668,1,60
"525",7248669,2,60
"526",7248670,1,60
"527",7248674,1,60
"528",7248674,2,60
"529",7248675,1,60
"530",7248676,1,60
"531",7248677,5,60
"532",7248679,1,60
"533",7248679,2,80
"534",7248680,1,60
"535",7248682,3,60
"536",7248682,4,60
"537",7248683,1,60
"538",7248684,1,60
"539",7248688,1,44
"540",7248688,2,44
"541",7248689,1,60
"542",7248689,2,60
"543",7248693,1,60
"544",7248694,4,60
"545",7248697,1,44
"546",7248699,1,60
"547",7248699,2,60
"548",7248701,1,60
"549",7248702,1,60
"550",7248702,2,60
"551",7248703,3,60
"552",7248704,1,60
"553",7248705,1,60
"554",7248708,1,60
"555",7248710,1,44
"556",7248710,2,44
"557",7248711,1,60
"558",7248711,2,60
"559",7248713,1,60
"560",7248713,2,60
"561",7248714,1,60
"562",7248715,1,44
"563",7248716,2,44
"564",7248720,1,60
"565",7248722,1,44
"566",7248723,1,60
"567",7248724,1,60
"568",7248726,1,60
"569",7248727,1,60
"570",7248727,2,60
"571",7248729,1,60
"572",7248730,1,60
"573",7248732,1,60
"574",7248733,1,60
"575",7248735,1,60
"576",7248736,1,80
"577",7248737,1,60
"578",7248739,2,60
"579",7248740,1,44
"580",7248742,1,60
"581",7248742,2,60
"582",7248743,1,60
"583",7248745,1,60
"584",7248745,2,60
"585",7248746,1,60
"586",7248746,2,60
"587",7248747,1,60
"588",7248749,1,80
"589",7248753,1,44
"590",7248756,1,60
"591",7248759,1,60
"592",7248759,2,60
"593",7248764,1,60
"594",7248764,2,60
"595",7248765,1,60
"596",7248765,2,60
"597",7248768,1,60
"598",7248768,2,60
"599",7248769,1,60
"600",7248769,2,60
"601",7248770,1,60
"602",7248772,1,60
"603",7248777,1,60
"604",7248780,1,44
"605",7248781,1,60
"606",7248782,1,60
"607",7248782,2,60
"608",7248786,1,60
"609",7248786,2,60
"610",7248793,1,60
"611",7248793,2,60
"612",7248794,1,60
"613",7248795,8,60
"614",7248795,9,60
"615",7248801,1,60
"616",7248801,2,60
"617",7248802,1,60
"618",7248804,1,60
"619",7248804,2,60
"620",7248808,5,60
"621",7248811,1,80
"622",7248813,1,60
"623",7248815,1,60
"624",7248818,1,60
"625",7248818,2,60
"626",7248825,2,60
"627",7248834,1,60
"628",7248834,2,60
"629",7248843,1,60
"630",7248844,1,60
"631",7248848,1,60
"632",7248849,2,60
"633",7248850,1,60
"634",7248851,1,60
"635",7248852,1,80
"636",7248853,1,80
"637",7248861,1,60
"638",7248862,1,60
"639",7248868,1,60
"640",7248870,1,60
"641",7248871,1,60
"642",7248878,1,60
"643",7248880,1,44
"644",7248884,1,60
"645",7248886,1,60
"646",7248886,2,60
"647",7248892,3,44
"648",7248896,1,60
"649",7248899,1,60
"650",7248900,5,60
"651",7248901,1,60
"652",7248903,1,60
"653",7248906,4,60
"654",7248907,1,44
"655",7248907,2,60
"656",7248908,1,60
"657",7248909,4,60
"658",7248912,1,60
"659",7248913,1,60
"660",7248914,1,60
"661",7248918,1,80
"662",7248918,2,60
"663",7248919,1,60
"664",7248924,1,60
"665",7248925,1,60
"666",7248929,4,44
"667",7248931,1,44
"668",7248937,2,60
"669",7248944,1,44
"670",7248944,2,60
"671",7248945,1,60
"672",7248948,5,60
"673",7248949,1,100
"674",7248949,2,60
"675",7248949,3,60
"676",7248951,4,44
"677",7248952,1,60
"678",7248952,2,60
"679",7248953,1,60
"680",7248956,1,60
"681",7248958,1,44
"682",7248959,1,60
"683",7248963,2,60
"684",7248965,1,60
"685",7248970,1,100
"686",7248971,1,100
"687",7248971,2,80
"688",7248972,1,80
"689",7248972,2,60
"690",7248972,3,60
"691",7248974,1,60
"692",7248976,1,44
