"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion"
"468",7248754,3,29
"469",7248754,4,29
"470",7248755,3,4
"471",7248756,5,23
"472",7248757,4,28
"473",7248758,3,3
"474",7248763,5,3
"475",7248765,6,51
"476",7248773,4,23
"477",7248775,5,16
"478",7248784,5,0
"479",7248787,3,3
"480",7248791,5,3
"481",7248792,4,23
"482",7248795,4,23
"483",7248806,2,36
"484",7248808,4,24
"485",7248811,4,30
"486",7248816,4,29
"487",7248819,3,30
"488",7248820,5,36
"489",7248822,2,32
"490",7248824,3,30
"491",7248829,3,32
"492",7248831,3,24
"493",7248835,3,0
"494",7248837,2,27
"495",7248838,2,3
"496",7248839,3,0
"497",7248840,3,3
"498",7248844,3,54
"499",7248864,3,36
"500",7248869,3,22
"501",7248872,5,52
"502",7248876,3,52
"503",7248877,3,28
"504",7248877,4,26
"505",7248883,5,23
"506",7248883,6,23
"507",7248887,2,70
"508",7248898,4,24
"509",7248900,7,28
"510",7248902,4,26
"511",7248906,2,0
"512",7248906,3,0
"513",7248908,5,23
"514",7248908,6,0
"515",7248911,2,30
"516",7248911,3,30
"517",7248915,3,24
"518",7248916,3,0
"519",7248921,3,52
"520",7248925,4,26
"521",7248927,3,24
"522",7248929,3,36
"523",7248932,3,34
"524",7248934,3,30
"525",7248938,3,1
"526",7248940,3,30
"527",7248940,7,30
"528",7248941,3,24
"529",7248944,3,27
"530",7248944,3,74
"531",7248946,4,23
"532",7248946,5,23
"533",7248948,3,0
"534",7248950,2,69
"535",7248950,3,37
"536",7248952,5,25
"537",7248957,3,61
"538",7248960,3,56
"539",7248965,3,32
"540",7248966,4,30
"541",7248977,3,30
"542",7248983,3,30
"543",7248991,5,52
"544",7248991,6,3
"545",7248997,3,60
"546",7249016,6,25
"547",7249021,3,67
"548",7249021,4,34
"549",7249036,3,28
"550",7249037,4,28
"551",7249038,2,60
"552",7249050,5,61
"553",7249050,6,29
"554",7249055,3,0
"555",7249056,3,52
"556",7249057,3,25
"557",7249058,3,21
"558",7249059,3,1
"559",7249059,4,1
"560",7249060,2,25
"561",7249070,3,35
"562",7249070,4,23
"563",7249077,3,32
"564",7249077,4,34
"565",7249078,3,3
"566",7249079,2,29
"567",7249081,5,26
"568",7249083,6,3
"569",7249085,2,25
"570",7249087,4,58
"571",7249087,5,58
"572",7249093,3,58
"573",7249097,3,27
"574",7249097,4,27
"575",7249097,5,27
"576",7249097,6,22
"577",7249098,3,30
"578",7249099,5,0
