"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion"
"969",7250289,5,48
"970",7250293,4,48
"971",7250296,5,48
"972",7250302,5,48
"973",7250302,6,48
"974",7250302,7,40
"975",7250302,8,12
"976",7250307,3,48
"977",7250307,4,48
"978",7250308,3,48
"979",7250308,4,48
"980",7250308,5,40
"981",7250309,3,40
"982",7250316,5,48
"983",7250316,6,24
"984",7250318,4,48
"985",7250320,3,48
"986",7250320,4,48
"987",7250323,4,48
"988",7250324,3,48
"989",7250330,11,24
"990",7250330,12,24
"991",7250330,7,32
"992",7250331,6,32
"993",7250331,7,32
"994",7250332,4,48
"995",7250342,4,40
"996",7250344,4,48
"997",7250347,2,64
"998",7250348,4,32
"999",7250349,2,48
"1000",7250349,3,48
"1001",7250353,6,48
"1002",7250356,4,64
"1003",7250357,2,64
"1004",7250358,5,48
"1005",7250358,6,48
"1006",7250358,7,48
"1007",7250359,4,48
"1008",7250361,3,48
"1009",7250362,4,48
"1010",7250363,6,56
"1011",7250364,5,48
"1012",7250368,3,48
"1013",7250369,3,48
"1014",7250369,4,48
"1015",7250372,4,64
"1016",7250372,5,64
"1017",7250373,2,64
"1018",7250390,2,48
"1019",7250390,3,48
"1020",7250391,4,48
"1021",7250392,3,48
"1022",7250399,3,48
"1023",7250401,2,48
"1024",7250401,3,48
"1025",7250403,4,48
"1026",7250406,5,24
"1027",7250408,4,48
"1028",7250410,3,40
"1029",7250413,5,48
"1030",7250414,4,48
"1031",7250416,3,48
"1032",7250416,4,48
"1033",7250428,3,56
"1034",7250428,4,56
"1035",7250432,3,48
"1036",7250432,4,40
"1037",7250432,5,40
"1038",7250435,3,48
"1039",7250440,4,64
"1040",7250441,3,40
"1041",7250442,3,56
"1042",7250442,4,56
"1043",7250443,9,14
"1044",7250445,5,40
"1045",7250446,3,48
"1046",7250447,3,64
"1047",7250459,2,32
"1048",7250460,2,32
"1049",7250460,3,24
"1050",7250462,2,32
"1051",7250464,3,28
"1052",7250476,5,32
"1053",7250484,3,32
"1054",7250484,4,32
"1055",7250487,3,48
"1056",7250488,3,48
"1057",7250488,4,48
"1058",7250490,3,48
"1059",7250491,3,48
"1060",7250496,3,48
"1061",7250497,3,48
"1062",7250499,3,48
"1063",7250502,3,48
"1064",7250506,4,64
"1065",7250508,2,32
"1066",7250522,2,48
"1067",7250522,3,40
"1068",7250523,3,48
"1069",7250530,5,48
"1070",7250539,3,28
"1071",7250548,3,48
"1072",7250555,2,48
"1073",7250569,3,32
"1074",7250575,3,48
"1075",7250575,4,48
"1076",7250575,5,40
"1077",7250577,2,48
"1078",7250577,3,40
"1079",7250580,3,48
"1080",7250585,5,32
"1081",7250585,6,12
"1082",7250591,3,56
"1083",7250601,4,56
"1084",7250605,3,32
"1085",7250605,4,32
"1086",7250611,5,56
"1087",7250614,4,64
"1088",7250614,5,64
"1089",7250614,6,64
"1090",7250618,3,64
"1091",7250619,3,48
"1092",7250620,3,40
"1093",7250623,4,48
"1094",7250624,4,48
"1095",7250627,3,48
"1096",7250631,3,28
"1097",7250633,4,64
"1098",7250633,5,64
"1099",7250634,4,40
"1100",7250635,3,64
"1101",7250636,4,64
"1102",7250636,5,12
"1103",7250637,2,48
"1104",7250637,3,48
"1105",7250642,4,48
"1106",7250642,7,40
"1107",7250644,6,48
"1108",7250656,3,56
"1109",7250657,4,48
"1110",7250659,2,26
"1111",7250665,2,48
"1112",7250666,2,48
"1113",7250668,5,32
"1114",7250669,5,48
"1115",7250669,6,48
"1116",7250670,3,28
"1117",7250675,3,64
"1118",7250675,4,64
"1119",7250679,3,32
"1120",7250680,4,40
"1121",7250683,4,64
"1122",7250684,3,48
"1123",7250689,4,32
"1124",7250690,4,32
"1125",7250691,4,32
"1126",7250691,5,24
"1127",7250694,3,48
"1128",7250697,3,40
"1129",7250698,5,32
"1130",7250699,3,32
"1131",7250702,5,48
"1132",7250702,6,40
"1133",7250704,3,64
"1134",7250707,4,32
"1135",7250708,3,32
"1136",7250716,3,64
"1137",7250716,4,64
"1138",7250717,2,48
"1139",7250718,5,48
"1140",7250718,6,48
"1141",7250718,7,40
"1142",7250719,5,48
"1143",7250719,6,40
"1144",7250720,4,40
"1145",7250722,3,48
"1146",7250722,4,40
"1147",7250729,3,56
"1148",7250730,3,56
"1149",7250733,4,64
"1150",7250736,3,56
"1151",7250737,5,56
"1152",7250741,5,48
"1153",7250742,3,48
"1154",7250742,4,48
"1155",7250746,4,48
"1156",7250747,6,48
"1157",7250747,7,48
"1158",7250748,2,48
"1159",7250749,5,26
"1160",7250751,3,64
"1161",7250755,4,64
"1162",7250757,4,64
"1163",7250764,3,48
"1164",7250766,4,48
"1165",7250769,3,56
"1166",7250773,3,48
"1167",7250780,4,48
"1168",7250780,5,48
