"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion"
"988",7251485,1,28
"989",7251494,1,58
"990",7251495,1,91
"991",7251496,1,91
"992",7251497,1,86
"993",7251499,1,91
"994",7251502,1,44
"995",7251504,1,91
"996",7251506,1,49
"997",7251507,1,91
"998",7251508,1,91
"999",7251513,1,86
"1000",7251515,1,91
"1001",7251516,1,81
"1002",7251521,1,91
"1003",7251525,1,81
"1004",7251526,1,91
"1005",7251527,1,91
"1006",7251529,1,74
"1007",7251533,1,91
"1008",7251535,1,86
"1009",7251536,1,82
"1010",7251542,1,76
"1011",7251545,1,81
"1012",7251556,1,81
"1013",7251558,1,76
"1014",7251559,1,71
"1015",7251563,1,74
"1016",7251571,1,91
"1017",7251573,1,71
"1018",7251577,1,56
"1019",7251578,1,61
"1020",7251579,1,76
"1021",7251580,1,59
"1022",7251581,1,38
"1023",7251582,1,49
"1024",7251585,1,78
"1025",7251586,1,81
"1026",7251591,1,64
"1027",7251592,1,66
"1028",7251603,1,67
"1029",7251614,1,81
"1030",7251617,1,74
"1031",7251621,1,66
"1032",7251622,1,66
"1033",7251623,1,86
"1034",7251627,1,72
"1035",7251630,1,91
"1036",7251632,1,66
"1037",7251636,1,86
"1038",7251637,1,60
"1039",7251642,1,67
"1040",7251644,1,91
"1041",7251646,1,91
"1042",7251647,1,91
"1043",7251648,1,64
"1044",7251650,1,91
"1045",7251664,1,91
"1046",7251675,1,47
"1047",7251678,1,76
"1048",7251686,1,91
"1049",7251687,1,39
"1050",7251690,1,91
"1051",7251692,1,40
"1052",7251693,1,69
"1053",7251696,1,91
"1054",7251699,1,81
"1055",7251700,1,25
"1056",7251701,1,91
"1057",7251702,1,69
"1058",7251719,1,53
"1059",7251720,1,81
"1060",7251723,1,26
"1061",7251724,1,62
"1062",7251725,1,47
"1063",7251726,1,74
"1064",7251733,1,47
"1065",7251737,1,59
"1066",7251738,1,50
"1067",7251739,1,25
"1068",7251754,1,35
"1069",7251759,1,51
"1070",7251760,1,76
"1071",7251766,1,50
"1072",7251767,1,51
"1073",7251770,1,86
"1074",7251778,1,91
"1075",7251779,1,81
"1076",7251781,1,64
"1077",7251783,1,76
"1078",7251784,1,38
"1079",7251787,1,72
"1080",7251790,1,57
"1081",7251795,1,87
"1082",7251810,1,61
"1083",7251828,1,72
"1084",7251833,1,53
"1085",7251845,1,72
"1086",7251846,1,91
"1087",7251847,1,91
"1088",7251848,1,67
"1089",7251849,1,45
"1090",7251850,1,52
"1091",7251853,1,61
"1092",7251855,1,67
"1093",7251859,1,91
"1094",7251861,1,72
"1095",7251862,1,66
"1096",7251878,1,43
"1097",7251888,1,67
"1098",7251890,1,71
"1099",7251895,1,91
"1100",7251902,1,52
"1101",7251904,1,59
"1102",7251906,1,81
"1103",7251909,1,77
"1104",7251910,1,86
"1105",7251913,1,87
"1106",7251915,1,71
"1107",7251928,1,66
"1108",7251930,1,91
"1109",7251931,1,82
"1110",7251939,1,76
"1111",7251946,1,86
"1112",7251953,1,91
"1113",7251959,1,86
"1114",7251962,1,44
