"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion"
"408",7248455,4,36
"409",7248462,1,23
"410",7248465,1,36
"411",7248466,1,23
"412",7248466,2,23
"413",7248468,1,31
"414",7248469,1,23
"415",7248470,2,53
"416",7248473,1,23
"417",7248490,1,23
"418",7248490,1,51
"419",7248490,2,3
"420",7248490,2,23
"421",7248491,1,23
"422",7248491,2,23
"423",7248492,1,36
"424",7248493,1,52
"425",7248498,2,54
"426",7248502,1,55
"427",7248502,2,31
"428",7248504,1,54
"429",7248504,2,23
"430",7248505,1,62
"431",7248505,2,56
"432",7248507,5,61
"433",7248514,1,56
"434",7248522,1,50
"435",7248522,1,52
"436",7248522,1,50
"437",7248522,1,23
"438",7248527,1,23
"439",7248528,1,36
"440",7248532,1,21
"441",7248533,1,36
"442",7248534,1,23
"443",7248538,1,21
"444",7248538,2,3
"445",7248539,1,23
"446",7248540,1,3
"447",7248541,1,74
"448",7248541,2,36
"449",7248542,1,23
"450",7248542,2,23
"451",7248545,1,23
"452",7248545,2,23
"453",7248550,1,23
"454",7248552,2,3
"455",7248554,1,23
"456",7248554,2,3
"457",7248556,1,23
"458",7248557,1,36
"459",7248557,2,44
"460",7248559,1,36
"461",7248561,1,36
"462",7248561,2,53
"463",7248563,2,23
"464",7248564,1,23
"465",7248566,5,23
"466",7248567,1,54
"467",7248567,2,51
"468",7248568,1,23
"469",7248568,2,23
"470",7248571,5,23
"471",7248572,1,23
"472",7248574,1,23
"473",7248575,1,23
"474",7248575,2,23
"475",7248578,1,53
"476",7248579,1,23
"477",7248580,1,23
"478",7248580,2,3
"479",7248582,1,29
"480",7248583,1,23
"481",7248591,1,23
"482",7248591,2,23
"483",7248593,2,16
"484",7248593,3,16
"485",7248596,2,36
"486",7248598,1,36
"487",7248598,2,16
"488",7248600,1,26
"489",7248601,1,23
"490",7248601,2,23
"491",7248602,1,31
"492",7248602,2,23
"493",7248603,1,23
"494",7248603,2,23
"495",7248604,1,31
"496",7248604,2,52
"497",7248604,4,36
"498",7248606,1,23
"499",7248609,1,23
"500",7248610,1,36
"501",7248610,2,36
"502",7248611,1,23
"503",7248611,2,31
"504",7248618,1,36
"505",7248619,1,23
"506",7248621,1,26
"507",7248623,1,23
"508",7248623,2,23
"509",7248624,1,23
"510",7248625,1,36
"511",7248626,1,23
"512",7248626,2,3
"513",7248634,1,3
"514",7248635,1,23
"515",7248635,2,3
"516",7248637,1,3
"517",7248640,1,23
"518",7248640,2,23
"519",7248641,1,3
"520",7248641,2,3
"521",7248646,1,23
