"","SECUENCIA_ENCUESTA","DIRECTORIO","SECUENCIA_P","Satisfaccion"
"201",1,7248310,1,69.5
"202",1,7248314,1,67.5
"203",1,7248315,1,65
"204",1,7248334,1,69
"205",1,7248339,1,71
"206",1,7248343,1,58
"207",1,7248344,1,71
"208",1,7248345,1,67
"209",1,7248347,1,70
"210",1,7248348,1,70.5
"211",1,7248356,1,69
"212",1,7248364,1,56.5
"213",1,7248366,1,71
"214",1,7248367,1,63.5
"215",1,7248374,1,69
"216",1,7248378,1,71
"217",1,7248381,1,71
"218",1,7248383,1,73
"219",1,7248385,1,54
"220",1,7248388,1,69.5
"221",1,7248391,1,66.5
"222",1,7248395,1,64
"223",1,7248398,1,62.5
"224",1,7248408,1,71
"225",1,7248419,1,69
"226",1,7248423,1,69
"227",1,7248427,1,69
"228",1,7248430,1,66.5
"229",1,7248431,1,58
"230",1,7248437,1,66
"231",1,7248443,1,67
"232",1,7248445,1,71
"233",1,7248462,1,69
"234",1,7248465,1,66.5
"235",1,7248466,1,68
"236",1,7248468,1,71
"237",1,7248469,1,61
"238",1,7248473,1,68.5
"239",1,7248490,2,58
"240",1,7248491,1,64.5
"241",1,7248492,1,66
"242",1,7248493,1,70
"243",1,7248502,1,64.5
"244",1,7248504,1,71
"245",1,7248505,1,73
"246",1,7248514,1,74
"247",1,7248522,4,59
"248",1,7248527,1,52
"249",1,7248528,1,74
"250",1,7248532,1,63.5
"251",1,7248533,1,71
"252",1,7248534,1,71.5
"253",1,7248538,1,72
"254",1,7248539,1,64.5
"255",1,7248540,1,66.5
"256",1,7248541,1,65.5
"257",1,7248542,1,71
"258",1,7248545,1,63.5
"259",1,7248550,1,65.5
"260",1,7248554,1,61
"261",1,7248556,1,68
"262",1,7248557,1,74
"263",1,7248559,1,51
"264",1,7248561,1,61.5
"265",1,7248564,1,60
"266",1,7248567,1,62
"267",1,7248568,1,71
"268",1,7248572,1,59
"269",1,7248574,1,58.5
"270",1,7248575,1,60.5
"271",1,7248578,1,54
"272",1,7248579,1,63
"273",1,7248580,1,75
"274",1,7248582,1,71
"275",1,7248583,1,75
"276",1,7248591,1,68
"277",1,7248598,1,71
"278",1,7248600,1,74
"279",1,7248601,1,73
"280",1,7248602,1,71.5
"281",1,7248603,1,73
"282",1,7248604,1,74
"283",1,7248606,1,73
"284",1,7248609,1,70
"285",1,7248610,1,60
"286",1,7248611,1,68
"287",1,7248618,1,75
"288",1,7248619,1,67.5
"289",1,7248621,1,72
"290",1,7248623,1,67.5
"291",1,7248624,1,68.5
"292",1,7248625,1,65
"293",1,7248626,1,72.5
"294",1,7248634,1,68.5
"295",1,7248635,1,71
"296",1,7248637,1,68.5
"297",1,7248640,1,64
"298",1,7248641,1,67
"299",1,7248646,1,58
"300",1,7248651,1,71
"301",1,7248654,1,71
"302",1,7248655,1,69
"303",1,7248656,1,61.5
"304",1,7248657,1,70
"305",1,7248661,1,66.5
"306",1,7248663,1,64
"307",1,7248664,1,65
"308",1,7248667,1,59.5
"309",1,7248668,1,67
"310",1,7248670,1,68.5
"311",1,7248674,1,64
"312",1,7248675,1,72
"313",1,7248676,1,64
"314",1,7248679,1,70
"315",1,7248680,1,54
"316",1,7248683,1,66.5
"317",1,7248684,1,60
"318",1,7248688,1,53
"319",1,7248689,1,71
"320",1,7248693,1,46.5
"321",1,7248697,1,70.5
"322",1,7248699,1,71
"323",1,7248701,1,63
"324",1,7248702,1,66.5
"325",1,7248704,1,59.5
"326",1,7248705,1,66
"327",1,7248708,1,65.5
"328",1,7248710,1,58
"329",1,7248711,1,63
"330",1,7248713,1,71
"331",1,7248714,1,72
"332",1,7248715,1,60.5
"333",1,7248720,1,51.5
"334",1,7248722,1,69
"335",1,7248723,1,68
"336",1,7248724,1,69.5
"337",1,7248726,1,65
"338",1,7248727,1,73
"339",1,7248729,1,75
"340",1,7248730,1,70
"341",1,7248732,1,66.5
"342",1,7248733,1,64.5
"343",1,7248735,1,60
"344",1,7248736,1,73
"345",1,7248737,1,67.5
"346",1,7248740,1,66
"347",1,7248742,1,75
"348",1,7248743,1,68.5
"349",1,7248745,1,65
"350",1,7248746,1,61.5
"351",1,7248747,1,72.5
"352",1,7248749,1,70.5
"353",1,7248753,1,68.5
"354",1,7248756,1,64
"355",1,7248759,1,71
"356",1,7248764,1,71
"357",1,7248765,1,56
"358",1,7248768,1,69
"359",1,7248769,1,64.5
"360",1,7248770,1,68
"361",1,7248772,1,63
"362",1,7248777,1,70
"363",1,7248780,1,52.5
"364",1,7248781,1,69
"365",1,7248782,1,71
"366",1,7248786,1,55.5
"367",1,7248793,1,69
"368",1,7248794,1,71
"369",1,7248801,1,67.5
"370",1,7248802,1,70
"371",1,7248804,1,71
"372",1,7248811,1,72.5
"373",1,7248813,1,68.5
"374",1,7248815,1,71.5
"375",1,7248818,1,72
"376",1,7248834,1,69
"377",1,7248843,1,68.5
"378",1,7248844,1,65.5
"379",1,7248848,1,66
"380",1,7248850,1,69
"381",1,7248851,1,65.5
"382",1,7248852,1,60.5
"383",1,7248853,1,74
"384",1,7248861,1,63
"385",1,7248862,1,68
"386",1,7248868,1,65
"387",1,7248870,1,51.5
"388",1,7248871,1,75
"389",1,7248878,1,60
"390",1,7248880,1,46
"391",1,7248884,1,71
"392",1,7248886,1,67
"393",1,7248896,1,69.5
"394",1,7248899,1,72.5
"395",1,7248901,1,65
"396",1,7248903,1,75
"397",1,7248907,1,64
"398",1,7248908,1,65.5
"399",1,7248912,1,68.5
"400",1,7248913,1,70
"401",1,7248914,1,66
"402",1,7248918,1,71
"403",1,7248919,1,66.5
"404",1,7248924,1,55.5
"405",1,7248925,1,71
"406",1,7248931,1,66
"407",1,7248944,1,66
"408",1,7248945,1,71
"409",1,7248949,1,56.5
"410",1,7248952,1,65
"411",1,7248953,1,67
"412",1,7248956,1,55.5
"413",1,7248958,1,71
"414",1,7248959,1,67
"415",1,7248965,1,71
"416",1,7248970,1,72.5
"417",1,7248971,1,62
"418",1,7248972,1,76
"419",1,7248974,1,64.5
"420",1,7248976,1,68
"421",1,7248980,1,72.5
"422",1,7248987,1,71.5
"423",1,7248988,1,69.5
"424",1,7248989,1,71.5
"425",1,7248990,1,75
"426",1,7248993,1,75
"427",1,7248995,1,75
"428",1,7248999,1,71.5
"429",1,7249000,1,72.5
"430",1,7249002,1,74
"431",1,7249003,1,69.5
"432",1,7249008,1,66
"433",1,7249012,1,66.5
"434",1,7249014,1,61
"435",1,7249016,1,64.5
"436",1,7249022,1,64
"437",1,7249023,1,69
"438",1,7249024,1,66
"439",1,7249025,1,72
"440",1,7249026,1,74
"441",1,7249028,1,64
"442",1,7249029,1,66.5
"443",1,7249030,1,59
"444",1,7249032,1,75
"445",1,7249034,1,69
"446",1,7249035,1,68.5
"447",1,7249041,1,70
"448",1,7249043,1,72
"449",1,7249044,1,75
"450",1,7249045,1,59.5
"451",1,7249046,1,75
"452",1,7249048,1,76
"453",1,7249049,1,67.5
"454",1,7249052,1,66.5
"455",1,7249078,1,70
"456",1,7249080,1,71
"457",1,7249081,1,66
"458",1,7249083,1,52.5
"459",1,7249084,1,65
"460",1,7249085,1,67
"461",1,7249088,1,67.5
"462",1,7249096,1,72
"463",1,7249100,1,66.5
"464",1,7249106,1,72.5
"465",1,7249107,1,68.5
"466",1,7249114,1,71
"467",1,7249124,1,72.5
"468",1,7249128,1,50.5
"469",1,7249136,1,71
"470",1,7249143,1,69
"471",1,7249144,1,68.5
"472",1,7249146,1,71
"473",1,7249147,1,74
"474",1,7249148,1,70
"475",1,7249149,1,75
"476",1,7249154,1,62.5
"477",1,7249155,1,68
"478",1,7249156,1,71
"479",1,7249161,1,68.5
"480",1,7249162,1,66
"481",1,7249164,1,71
"482",1,7249165,1,68
"483",1,7249172,1,68
"484",1,7249178,1,68
"485",1,7249184,1,72
"486",1,7249185,1,50
"487",1,7249186,1,60
"488",1,7249190,1,69
"489",1,7249193,1,68.5
"490",1,7249197,1,72.5
"491",1,7249202,1,67
"492",1,7249203,1,67
"493",1,7249205,1,67
"494",1,7249208,1,75
"495",1,7249209,1,69
"496",1,7249215,1,60.5
"497",1,7249216,1,66
"498",1,7249217,1,67
"499",1,7249218,1,71.5
"500",1,7249221,1,69
"501",1,7249222,1,58.5
"502",1,7249224,1,73
"503",1,7249233,1,67
"504",1,7249246,1,64
"505",1,7249248,1,67
"506",1,7249251,1,71
"507",1,7249254,1,61.5
"508",1,7249257,1,71
"509",1,7249258,1,65.5
"510",1,7249262,1,72.5
"511",1,7249263,1,65.5
"512",1,7249266,1,63
"513",1,7249268,1,62
"514",1,7249274,1,62
"515",1,7249281,1,73
"516",1,7249285,1,65
"517",1,7249292,1,69
"518",1,7249301,1,71
"519",1,7249309,1,54.5
"520",1,7249328,1,65.5
"521",1,7249340,1,61.5
"522",1,7249350,1,63.5
"523",1,7249371,1,71
"524",1,7249380,1,69
"525",1,7249381,1,60.5
"526",1,7249383,1,63.5
"527",1,7249388,1,62.5
"528",1,7249395,1,71
"529",1,7249399,1,64.5
"530",1,7249403,1,67
"531",1,7249412,1,58.5
"532",1,7249416,1,65.5
"533",1,7249438,1,73
"534",1,7249446,1,64.5
"535",1,7249455,1,75
"536",1,7249462,1,63
"537",1,7249463,1,61.5
"538",1,7249474,1,66.5
"539",1,7249491,1,68
"540",1,7249492,1,69
"541",1,7249494,1,62.5
"542",1,7249497,1,54
"543",1,7249500,1,62.5
"544",1,7249501,1,54
"545",1,7249507,1,71.5
"546",1,7249511,1,66.5
"547",1,7249512,1,63
"548",1,7249531,1,69
"549",1,7249545,1,49.5
"550",1,7249552,1,52
"551",1,7249555,1,63.5
"552",1,7249565,1,58
"553",1,7249575,1,55
"554",1,7249593,1,70
"555",1,7249603,1,71
"556",1,7249606,1,59.5
"557",1,7249607,1,58.5
"558",1,7249620,1,65.5
"559",1,7249622,1,71
"560",1,7249622,3,60
"561",1,7249633,1,68
"562",1,7249658,1,67
"563",1,7249659,1,69
"564",1,7249664,1,69
"565",1,7249670,1,75
"566",1,7249673,1,68
"567",1,7249679,1,67
"568",1,7249686,1,61.5
"569",1,7249701,1,68
"570",1,7249702,1,65
"571",1,7249707,1,62.5
"572",1,7249718,1,58
"573",1,7249719,1,68
"574",1,7249721,1,69
"575",1,7249725,1,53.5
"576",1,7249731,1,67
"577",1,7249744,1,64.5
"578",1,7249750,1,65.5
"579",1,7249755,1,64
"580",1,7249775,1,69
"581",1,7249777,1,63.5
"582",1,7249781,1,69
"583",1,7249785,1,52
"584",1,7249789,1,60
"585",1,7249791,1,66
"586",1,7249795,1,67.5
"587",1,7249801,1,71
"588",1,7249802,1,60
"589",1,7249803,1,65
"590",1,7249807,1,64.5
"591",1,7249810,1,63.5
"592",1,7249811,1,71
"593",1,7249812,1,65.5
"594",1,7249818,1,69
"595",1,7249827,1,61.5
"596",1,7249828,1,62
"597",1,7249829,1,67
"598",1,7249831,1,71
"599",1,7249834,1,59.5
"600",1,7249835,1,53.5
"601",1,7249838,1,64
"602",1,7249846,1,67
"603",1,7249848,1,71
"604",1,7249851,1,62.5
"605",1,7249861,1,55.5
"606",1,7249863,1,71
"607",1,7249864,1,63.5
"608",1,7249865,1,69
"609",1,7249866,1,59.5
"610",1,7249868,1,67
"611",1,7249872,1,59
"612",1,7249890,1,62
"613",1,7249894,1,67.5
"614",1,7249911,1,69
"615",1,7249919,1,68
"616",1,7249939,1,73
"617",1,7249941,1,71
"618",1,7249956,1,72.5
"619",1,7249959,1,66
"620",1,7249964,1,68
"621",1,7249968,1,71.5
"622",1,7249969,1,71
"623",1,7249970,1,60.5
"624",1,7249975,1,66.5
"625",1,7249978,1,57.5
"626",1,7249979,1,71
"627",1,7249980,1,68
"628",1,7250000,1,66.5
"629",1,7250004,1,73.5
"630",1,7250006,1,69
"631",1,7250046,1,67.5
"632",1,7250051,1,66.5
"633",1,7250057,1,69.5
"634",1,7250058,1,64
"635",1,7250063,1,75
"636",1,7250073,1,71
"637",1,7250074,1,72.5
"638",1,7250079,1,71
"639",1,7250080,1,71
"640",1,7250087,1,68
"641",1,7250091,1,71
"642",1,7250096,1,65.5
"643",1,7250098,1,71
"644",1,7250108,1,67.5
"645",1,7250109,1,71
"646",1,7250112,1,71
"647",1,7250114,1,70
"648",1,7250120,1,71
"649",1,7250127,1,71
"650",1,7250128,1,68
"651",1,7250134,1,68
"652",1,7250135,1,69
"653",1,7250142,1,66.5
"654",1,7250143,1,69
"655",1,7250147,1,72.5
"656",1,7250149,1,67.5
"657",1,7250153,1,70
"658",1,7250156,1,73
"659",1,7250159,1,69
"660",1,7250167,1,65
"661",1,7250170,1,71
"662",1,7250176,1,68.5
"663",1,7250179,1,71
"664",1,7250182,1,66.5
"665",1,7250205,1,71
"666",1,7250207,1,72
"667",1,7250210,1,69.5
"668",1,7250213,1,70
"669",1,7250226,1,71.5
"670",1,7250227,1,72
"671",1,7250229,1,71.5
"672",1,7250239,1,72
"673",1,7250244,1,65
"674",1,7250258,1,68.5
"675",1,7250263,1,63.5
"676",1,7250267,1,68.5
"677",1,7250270,1,69
"678",1,7250271,1,67.5
"679",1,7250273,1,70
"680",1,7250278,1,66
"681",1,7250279,1,75
"682",1,7250290,1,67.5
"683",1,7250292,1,65.5
"684",1,7250295,1,68.5
"685",1,7250304,1,69
"686",1,7250305,1,68.5
"687",1,7250325,1,71
"688",1,7250327,1,71
"689",1,7250329,1,71
"690",1,7250331,1,69
"691",1,7250333,1,71
"692",1,7250334,1,72
"693",1,7250337,1,71
"694",1,7250339,1,54
"695",1,7250342,1,66
"696",1,7250345,1,65.5
"697",1,7250349,1,68.5
"698",1,7250351,1,71.5
"699",1,7250354,1,71
"700",1,7250363,1,67
"701",1,7250366,1,61.5
"702",1,7250370,1,61.5
"703",1,7250372,1,70
"704",1,7250374,1,69
"705",1,7250379,1,64
"706",1,7250387,1,64.5
"707",1,7250388,1,74
"708",1,7250389,1,68.5
"709",1,7250394,1,66
"710",1,7250402,1,71
"711",1,7250403,1,73.5
"712",1,7250411,1,69
"713",1,7250412,1,65.5
"714",1,7250417,1,71
"715",1,7250419,1,68
"716",1,7250420,1,71
"717",1,7250422,1,71
"718",1,7250425,1,71
"719",1,7250428,1,66.5
"720",1,7250433,1,68.5
"721",1,7250437,1,73
"722",1,7250439,1,65.5
"723",1,7250453,1,68.5
"724",1,7250454,1,68.5
"725",1,7250468,1,70
"726",1,7250469,1,68.5
"727",1,7250476,1,70
"728",1,7250477,1,71.5
"729",1,7250482,1,70
"730",1,7250486,1,71
"731",1,7250487,1,71
"732",1,7250488,1,71
"733",1,7250492,1,71
"734",1,7250495,1,71
"735",1,7250498,1,74
"736",1,7250507,1,72
"737",1,7250520,1,69
"738",1,7250544,1,72
"739",1,7250547,1,72
"740",1,7250553,1,74
"741",1,7250558,1,75
"742",1,7250560,1,51.5
"743",1,7250561,1,61.5
"744",1,7250563,1,65
"745",1,7250564,1,69
"746",1,7250568,1,71
"747",1,7250571,1,67
"748",1,7250573,1,68.5
"749",1,7250578,1,68
"750",1,7250582,1,75
"751",1,7250583,1,66.5
"752",1,7250584,1,67
"753",1,7250587,1,71
"754",1,7250593,1,71
"755",1,7250599,1,71
"756",1,7250602,1,66.5
"757",1,7250604,1,71
"758",1,7250609,1,69
"759",1,7250610,1,62
"760",1,7250612,1,57
"761",1,7250616,1,71
"762",1,7250628,1,66.5
"763",1,7250630,1,69
"764",1,7250631,1,68.5
"765",1,7250632,1,62
"766",1,7250638,1,65
"767",1,7250641,1,71
"768",1,7250644,1,66
"769",1,7250646,1,70
"770",1,7250647,1,71
"771",1,7250650,1,71
"772",1,7250655,1,69
"773",1,7250658,1,65.5
"774",1,7250663,1,70
"775",1,7250664,1,71
"776",1,7250673,1,71
"777",1,7250689,1,68.5
"778",1,7250696,1,67
"779",1,7250702,1,61.5
"780",1,7250703,1,69
"781",1,7250710,1,68.5
"782",1,7250721,1,68.5
"783",1,7250724,1,65.5
"784",1,7250733,1,69
"785",1,7250734,1,69
"786",1,7250739,1,73
"787",1,7250741,1,69
"788",1,7250742,1,71
"789",1,7250743,1,59.5
"790",1,7250744,1,59
"791",1,7250745,1,71
"792",1,7250746,1,67.5
"793",1,7250750,1,68.5
"794",1,7250752,1,68
"795",1,7250758,1,72
"796",1,7250759,1,60.5
"797",1,7250762,1,67
"798",1,7250763,1,70.5
"799",1,7250775,1,71
"800",1,7250777,1,72
"801",1,7250778,1,55.5
"802",1,7250779,1,67.5
"803",1,7250791,1,70
"804",1,7250803,1,71
"805",1,7250804,1,65.5
"806",1,7250805,1,62.5
"807",1,7250810,1,75
"808",1,7250826,1,57
"809",1,7250829,1,64.5
"810",1,7250830,1,68.5
"811",1,7250832,1,54
"812",1,7250840,1,69
"813",1,7250850,1,71
"814",1,7250851,1,71
"815",1,7250857,1,71
"816",1,7250858,1,64
"817",1,7250859,1,61
"818",1,7250862,1,62
"819",1,7250863,1,60.5
"820",1,7250868,1,68.5
"821",1,7250870,1,64.5
"822",1,7250871,1,69.5
"823",1,7250872,1,70
"824",1,7250873,1,60.5
"825",1,7250877,1,62.5
"826",1,7250879,1,72
"827",1,7250880,1,61.5
"828",1,7250881,1,69
"829",1,7250882,1,68
"830",1,7250883,1,68.5
"831",1,7250885,1,67
"832",1,7250888,1,68.5
"833",1,7250889,1,65.5
"834",1,7250890,1,75
"835",1,7250892,1,69
"836",1,7250895,1,65
"837",1,7250896,1,66.5
"838",1,7250897,1,60.5
"839",1,7250898,1,63.5
"840",1,7250901,1,67.5
"841",1,7250902,1,66
"842",1,7250903,1,62.5
"843",1,7250907,1,71
"844",1,7250910,1,71.5
"845",1,7250911,1,68.5
"846",1,7250918,1,67.5
"847",1,7250920,1,68
"848",1,7250921,1,72
"849",1,7250922,1,71
"850",1,7250923,1,67.5
"851",1,7250925,1,60
"852",1,7250926,1,77
"853",1,7250927,1,69.5
"854",1,7250939,1,64
"855",1,7250942,1,71
"856",1,7250948,1,68
"857",1,7250951,1,53.5
"858",1,7250953,1,64.5
"859",1,7250956,1,67.5
"860",1,7250957,1,69
"861",1,7250960,1,65
"862",1,7250961,1,70.5
"863",1,7250962,1,69.5
"864",1,7250969,1,70.5
"865",1,7250974,1,67
"866",1,7250975,1,65.5
"867",1,7250976,1,66.5
"868",1,7250978,1,63
"869",1,7250979,1,73
"870",1,7250982,1,74
"871",1,7250984,1,69
"872",1,7250986,1,68
"873",1,7250990,1,59.5
"874",1,7250991,1,62
"875",1,7251000,1,62
"876",1,7251001,1,66
"877",1,7251010,1,66
"878",1,7251016,1,65.5
"879",1,7251017,1,66
"880",1,7251018,1,67
"881",1,7251020,1,71
"882",1,7251025,1,71
"883",1,7251030,1,53
"884",1,7251047,1,63.5
"885",1,7251049,1,60
"886",1,7251062,1,70
"887",1,7251086,1,68.5
"888",1,7251089,1,72
"889",1,7251109,1,60
"890",1,7251119,1,63
"891",1,7251128,1,70.5
"892",1,7251133,1,67
"893",1,7251146,1,71
"894",1,7251150,1,72.5
"895",1,7251153,1,71
"896",1,7251156,1,70
"897",1,7251162,1,70
"898",1,7251163,1,71
"899",1,7251170,1,71
"900",1,7251178,1,75
"901",1,7251180,1,65.5
"902",1,7251182,1,71
"903",1,7251183,1,70
"904",1,7251185,1,75
"905",1,7251193,1,72.5
"906",1,7251199,1,71
"907",1,7251201,1,71
"908",1,7251202,1,75
"909",1,7251203,1,65
"910",1,7251211,1,71
"911",1,7251212,1,73
"912",1,7251215,1,70.5
"913",1,7251218,1,71
"914",1,7251219,1,64.5
"915",1,7251220,1,64.5
"916",1,7251221,1,67.5
"917",1,7251224,1,71
"918",1,7251225,1,59.5
"919",1,7251226,1,67.5
"920",1,7251230,1,71
"921",1,7251231,1,66.5
"922",1,7251235,1,70
"923",1,7251236,1,55
"924",1,7251237,1,72
"925",1,7251239,1,73
"926",1,7251240,1,64.5
"927",1,7251241,1,73
"928",1,7251243,1,74
"929",1,7251244,1,70.5
"930",1,7251245,1,68
"931",1,7251246,1,59.5
"932",1,7251249,1,75
"933",1,7251255,1,71
"934",1,7251258,1,71
"935",1,7251263,1,61.5
"936",1,7251264,1,71
"937",1,7251269,1,67
"938",1,7251272,1,64
"939",1,7251277,1,55
"940",1,7251284,1,73
"941",1,7251287,1,72.5
"942",1,7251290,1,65.5
"943",1,7251294,1,66.5
"944",1,7251295,1,71
"945",1,7251299,1,68
"946",1,7251300,1,56.5
"947",1,7251306,1,56
"948",1,7251307,1,65
"949",1,7251308,1,60
"950",1,7251311,1,60
"951",1,7251314,1,75
"952",1,7251316,1,66
"953",1,7251318,1,65
"954",1,7251321,1,66
"955",1,7251323,1,57.5
"956",1,7251326,1,59.5
"957",1,7251330,1,67
"958",1,7251331,1,75
"959",1,7251335,1,68.5
"960",1,7251338,1,68.5
"961",1,7251346,1,56
"962",1,7251352,1,67.5
"963",1,7251357,1,70
"964",1,7251366,1,69
"965",1,7251378,1,64.5
"966",1,7251383,1,61.5
"967",1,7251392,1,74
"968",1,7251422,1,68.5
"969",1,7251424,1,67
"970",1,7251424,2,66
"971",1,7251425,1,68.5
"972",1,7251427,1,58
"973",1,7251428,1,70
"974",1,7251429,1,66
"975",1,7251432,1,63.5
"976",1,7251440,1,72.5
"977",1,7251441,1,66.5
"978",1,7251454,1,67
"979",1,7251455,1,66
"980",1,7251462,1,75
"981",1,7251463,1,68.5
"982",1,7251464,1,75
"983",1,7251465,1,75
"984",1,7251469,1,72.5
"985",1,7251477,1,67
"986",1,7251478,1,67.5
"987",1,7251482,1,68.5
"988",1,7251485,1,67
"989",1,7251494,1,72
"990",1,7251495,1,71
"991",1,7251496,1,62
"992",1,7251497,1,69.5
"993",1,7251499,1,75
"994",1,7251502,1,67
"995",1,7251504,1,63.5
"996",1,7251506,1,66.5
"997",1,7251507,1,65.5
"998",1,7251508,1,64.5
"999",1,7251513,1,67
"1000",1,7251515,1,69.5
"1001",1,7251516,1,64.5
"1002",1,7251521,1,67
"1003",1,7251525,1,69
"1004",1,7251526,1,70
"1005",1,7251527,1,69
"1006",1,7251529,1,66.5
"1007",1,7251533,1,59.5
"1008",1,7251535,1,72
"1009",1,7251536,1,66.5
"1010",1,7251542,1,71
