"","DIRECTORIO","SECUENCIA_ENCUESTA","Satisfaccion"
"406",7248001,5,72.72
"407",7248006,3,63.63
"408",7248008,3,72.72
"409",7248010,3,81.81
"410",7248010,4,81.81
"411",7248010,5,81.81
"412",7248011,5,78.78
"413",7248011,7,78.78
"414",7248012,3,63.63
"415",7248012,4,63.63
"416",7248013,2,78.78
"417",7248014,3,81.81
"418",7248018,3,78.78
"419",7248018,4,78.78
"420",7248021,2,45.45
"421",7248021,3,45.45
"422",7248026,4,51.51
"423",7248027,3,48.48
"424",7248030,2,45.45
"425",7248030,3,45.45
"426",7248032,3,57.57
"427",7248038,5,63.63
"428",7248043,3,72.72
"429",7248044,3,78.78
"430",7248046,4,87.87
"431",7248049,2,90.9
"432",7248050,4,87.87
"433",7248055,4,87.87
"434",7248064,6,81.81
"435",7248064,7,81.81
"436",7248065,3,77.26
"437",7248065,4,77.26
"438",7248067,3,74.23
"439",7248069,5,75.75
"440",7248071,4,84.84
"441",7248071,5,84.84
"442",7248071,6,84.84
"443",7248072,3,87.87
"444",7248072,4,87.87
"445",7248075,4,69.69
"446",7248077,4,72.72
"447",7248086,5,84.84
"448",7248087,3,87.87
"449",7248087,4,87.87
"450",7248088,6,84.84
"451",7248090,6,78.78
"452",7248090,8,78.78
"453",7248095,2,63.63
"454",7248095,3,63.63
"455",7248096,3,87.87
"456",7248096,4,87.87
"457",7248105,3,75.75
"458",7248107,3,72.72
"459",7248107,4,72.72
"460",7248120,3,69.69
"461",7248120,4,69.69
"462",7248122,3,75.75
"463",7248124,2,81.81
"464",7248124,2,81.81
"465",7248124,3,81.81
"466",7248127,5,81.81
"467",7248127,6,81.81
"468",7248128,3,90.9
"469",7248141,2,72.72
"470",7248146,3,84.84
"471",7248148,3,81.81
"472",7248151,4,69.69
"473",7248153,3,69.69
"474",7248153,4,69.69
"475",7248158,5,54.54
"476",7248159,4,63.63
"477",7248159,5,63.63
"478",7248172,3,72.72
"479",7248175,4,90.9
"480",7248178,3,75.75
"481",7248179,3,90.9
"482",7248180,3,75.75
"483",7248196,2,81.81
"484",7248196,3,81.81
"485",7248197,4,72.72
"486",7248199,3,75.75
"487",7248206,5,81.81
"488",7248209,5,90.9
"489",7248215,3,75.75
"490",7248219,4,57.57
"491",7248219,5,57.57
"492",7248233,3,72.72
"493",7248235,2,84.84
"494",7248235,3,84.84
"495",7248239,4,87.87
"496",7248240,3,78.78
"497",7248240,4,78.78
"498",7248242,3,72.72
"499",7248242,4,72.72
"500",7248243,5,72.72
"501",7248245,4,81.81
"502",7248245,5,81.81
