"P6040","DIRECTORIO","SECUENCIA_ENCUESTA"
77,7249265,2
84,7249266,1
64,7249268,1
64,7249274,1
64,7249281,1
81,7249284,2
61,7249285,1
61,7249292,1
61,7249292,2
63,7249301,1
76,7249309,1
60,7249328,1
77,7249338,3
63,7249340,1
65,7249349,6
68,7249350,1
60,7249350,2
79,7249365,9
65,7249371,1
62,7249380,1
63,7249381,1
78,7249383,1
62,7249388,1
65,7249391,2
61,7249395,1
83,7249397,2
76,7249399,1
73,7249399,2
63,7249403,1
77,7249411,3
61,7249412,1
67,7249416,1
67,7249438,1
70,7249438,2
77,7249446,1
69,7249455,1
62,7249462,1
75,7249463,1
70,7249465,2
69,7249474,1
78,7249491,1
76,7249492,1
65,7249494,1
81,7249497,1
65,7249500,1
78,7249501,1
61,7249502,2
66,7249507,1
61,7249511,1
60,7249511,2
82,7249512,1
77,7249515,2
84,7249522,4
65,7249531,1
75,7249545,1
83,7249552,1
89,7249552,2
66,7249555,1
67,7249558,4
69,7249565,1
73,7249565,2
78,7249575,1
87,7249584,5
61,7249593,1
61,7249603,1
78,7249606,1
70,7249607,1
60,7249614,4
65,7249620,1
71,7249622,1
66,7249622,1
60,7249633,1
81,7249656,2
71,7249656,3
61,7249658,1
62,7249659,1
62,7249664,1
77,7249666,4
70,7249670,1
68,7249673,1
64,7249679,1
63,7249686,1
62,7249701,1
64,7249702,1
64,7249707,1
61,7249718,1
61,7249719,1
63,7249721,1
60,7249725,1
60,7249731,1
67,7249744,1
69,7249745,5
66,7249750,1
60,7249755,1
62,7249771,2
62,7249775,1
64,7249777,1
75,7249781,1
60,7249781,2
89,7249785,1
66,7249789,1
62,7249789,2
67,7249791,1
65,7249795,1
65,7249801,1
65,7249802,1
60,7249803,1
70,7249807,1
76,7249810,1
75,7249810,2
70,7249811,1
67,7249811,2
68,7249812,1
78,7249818,1
63,7249827,1
64,7249828,1
67,7249829,1
65,7249831,1
77,7249834,1
67,7249835,1
84,7249838,1
73,7249846,1
64,7249848,1
80,7249849,2
71,7249851,1
67,7249856,2
65,7249861,1
81,7249863,1
60,7249864,1
65,7249865,1
67,7249865,2
65,7249866,1
67,7249866,2
60,7249868,1
73,7249872,1
65,7249872,2
77,7249874,2
74,7249890,1
65,7249893,2
64,7249894,1
76,7249895,4
64,7249911,1
82,7249918,3
80,7249919,1
76,7249919,2
61,7249929,2
