DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P8692S3A1
7249899;3;1;3;117,293520426692;3
7249899;4;1;4;117,293520426692;4
7249909;1;1;1;46,1375570781916;1
7249909;2;1;2;46,1375570781916;2
7249952;1;1;1;474,996848899983;1
7249952;2;1;2;474,996848899983;2
7249966;1;1;1;369,53381965015;1
7249966;2;1;2;369,53381965015;2
7250031;1;1;1;317,16165160862;1
7250031;2;1;2;317,16165160862;2
7250031;3;1;3;317,16165160862;3
7250034;1;1;1;319,27285669544;1
7250034;2;1;2;319,27285669544;2
7250070;1;1;1;304,985802421276;1
7250070;2;1;2;304,985802421276;2
7250075;1;1;1;191,552369259373;4
7250075;2;1;2;191,552369259373;5
7250097;1;1;1;128,605794852781;1
7250097;2;1;2;128,605794852781;2
7250100;1;1;1;121,476406113353;1
7250100;2;1;2;121,476406113353;2
7250111;1;1;1;81,1118523210807;1
7250111;2;1;2;81,1118523210807;2
7250114;1;1;1;146,934956698799;1
7250114;2;1;2;146,934956698799;2
7250157;1;1;1;51,8760455976639;1
7250157;2;1;2;51,8760455976639;2
7250207;1;1;1;213,239796447437;1
7250207;2;1;2;213,239796447437;2
7250227;1;1;1;216,971159518555;1
7250227;2;1;2;216,971159518555;2
7250232;1;1;1;216,971159518555;1
7250232;2;1;2;216,971159518555;2
7250280;1;1;1;153,236319046949;1
7250280;2;1;2;153,236319046949;2
7250399;1;1;1;244,297392744004;4
7250399;2;1;2;244,297392744004;6
7250414;1;1;1;64,3349265537622;1
7250414;2;1;2;64,3349265537622;2
7250475;1;1;1;226,42310961966;2
7250475;2;1;2;226,42310961966;3
7250477;1;1;1;184,785884405014;1
7250477;2;1;2;184,785884405014;2
7250479;1;1;1;227,408869614142;1
7250479;2;1;2;227,408869614142;2
7250487;1;1;1;170,39565976234;1
7250487;2;1;2;170,39565976234;2
7250506;1;1;1;1559,30139318844;1
7250506;2;1;2;1559,30139318844;2
7250510;1;1;1;1692,52743417073;1
7250510;2;1;2;1692,52743417073;2
7250523;1;1;1;1636,46138811792;1
7250523;2;1;2;1636,46138811792;2
7250538;1;1;1;1526,92860729449;1
7250538;2;1;2;1526,92860729449;2
7250557;1;1;1;1818,49910703835;1
7250557;2;1;2;1818,49910703835;2
7250558;1;1;1;1551,01593343072;1
7250558;2;1;2;1551,01593343072;2
7250559;1;1;1;1540,75747456665;1
7250559;2;1;2;1540,75747456665;2
7250695;1;1;1;5,27293514142558;1
7250695;2;1;2;5,27293514142558;2
7250786;1;1;1;201,204647135896;1
7250786;2;1;2;201,204647135896;2
7250790;1;1;1;143,993646606678;1
7250790;2;1;2;143,993646606678;2
7250792;1;1;1;147,702794316375;1
7250792;2;1;2;147,702794316375;2
7250792;3;1;3;147,702794316375;3
7250792;4;1;4;147,702794316375;4
7250792;5;1;5;147,702794316375;5
7250800;1;1;1;128,337232935826;1
7250800;2;1;2;128,337232935826;2
7250810;1;1;1;137,747382408748;1
7250810;2;1;2;137,747382408748;2
7250815;1;1;1;203,862138273204;1
7250815;2;1;2;203,862138273204;2
7250879;1;1;1;121,810701714673;1
7250879;2;1;2;121,810701714673;2
7250925;1;1;1;26,2431737811706;1
7250925;2;1;2;26,2431737811706;2
7250938;1;1;1;407,002263024241;1
7250938;2;1;2;407,002263024241;2
7250948;1;1;1;357,256007286916;1
7250948;2;1;2;357,256007286916;2
7251036;1;1;1;159,741293604281;2
7251036;2;1;2;159,741293604281;3
7251036;3;1;3;159,741293604281;1
7251105;1;1;1;5,75860427107136;1
7251105;2;1;2;5,75860427107136;2
7251105;3;1;3;5,75860427107136;3
7251105;4;1;4;5,75860427107136;4
7251122;1;1;1;5,80865860919113;1
7251122;2;1;2;5,80865860919113;2
7251123;1;1;1;5,83333728466933;1
7251123;2;1;2;5,83333728466933;2
7251203;1;1;1;107,048391698332;1
7251203;2;1;2;107,048391698332;2
7251221;1;1;1;126,970289822544;1
7251221;2;1;2;126,970289822544;2
7251229;1;1;1;107,94345939625;1
7251229;2;1;2;107,94345939625;2
7251230;1;1;1;132,328113451088;1
7251230;2;1;2;132,328113451088;2
7251233;1;1;1;65,2082531101111;1
7251233;2;1;2;65,2082531101111;2
7251339;1;1;1;234,016631461312;1
7251339;2;1;2;234,016631461312;4
7251339;3;1;3;234,016631461312;5
7251339;4;1;4;234,016631461312;6
7251341;1;1;1;217,378695206845;1
7251341;2;1;2;217,378695206845;2
7251344;1;1;1;223,993257436045;1
7251344;2;1;2;223,993257436045;2
7251344;3;1;3;223,993257436045;3
7251344;4;1;4;223,993257436045;4
7251392;1;1;1;37,2011063257003;1
7251392;2;1;2;37,2011063257003;2
7251400;1;1;1;30,1551374897749;1
7251400;2;1;2;30,1551374897749;2
7251403;1;1;1;47,3419667645931;1
7251403;2;1;2;47,3419667645931;2
7251426;1;1;1;321,665952474022;1
7251426;2;1;2;321,665952474022;2
7251441;1;1;1;37,8842137500216;1
7251441;2;1;2;37,8842137500216;2
7251458;1;1;1;71,951897618101;1
7251458;2;1;2;71,951897618101;2
7251477;1;1;1;164,261152996569;1
7251477;2;1;2;164,261152996569;2
7251515;1;1;1;51,226076663545;1
7251515;2;1;2;51,226076663545;2
7251609;1;1;1;223,612996246137;1
7251609;2;1;2;223,612996246137;2
7251609;3;1;3;223,612996246137;3
7251609;4;1;4;223,612996246137;4
7251668;1;1;1;1018,85740573016;1
7251668;2;1;2;1018,85740573016;2
7251690;1;1;1;576,670931576987;1
7251690;2;1;2;576,670931576987;2
7251723;1;1;1;175,11855125939;1
7251723;2;1;2;175,11855125939;2
7251743;1;1;1;5,34141287662049;1
7251743;2;1;2;5,34141287662049;3
7251743;3;1;3;5,34141287662049;4
7251747;1;1;1;50,4156770118387;1
7251747;2;1;2;50,4156770118387;2
7251747;3;1;3;50,4156770118387;3
7251834;1;1;1;100,776508012118;1
7251834;2;1;2;100,776508012118;2
7251834;3;1;3;100,776508012118;3
7251834;4;1;4;100,776508012118;4
7251859;1;1;1;1245,2476947148;1
7251859;2;1;2;1245,2476947148;2
7251860;2;1;2;1173,63360052716;2
7251860;1;1;1;1173,63360052716;1
7251861;1;1;1;1268,75396540296;1
