"P6040","DIRECTORIO","SECUENCIA_ENCUESTA"
5,7248902,4
5,7248906,2
5,7248906,3
11,7248908,5
6,7248908,6
12,7248911,2
8,7248911,3
5,7248915,3
8,7248916,3
0,7248917,6
9,7248921,3
1,7248921,4
6,7248925,4
7,7248927,3
12,7248929,3
10,7248932,3
4,7248932,4
7,7248934,3
0,7248934,4
12,7248938,3
9,7248940,3
0,7248940,4
10,7248940,7
3,7248940,8
9,7248941,3
0,7248941,4
10,7248944,3
10,7248946,4
7,7248946,5
6,7248948,3
4,7248948,4
11,7248950,2
9,7248950,3
10,7248952,5
4,7248956,5
11,7248957,3
11,7248960,3
11,7248965,3
12,7248966,4
7,7248977,3
4,7248977,4
1,7248981,3
2,7248982,3
6,7248983,3
7,7248991,5
5,7248991,6
10,7248997,3
2,7249009,2
6,7249016,6
11,7249021,3
7,7249021,4
6,7249036,3
7,7249037,4
11,7249038,2
0,7249040,5
2,7249042,4
12,7249050,5
8,7249050,6
2,7249053,2
5,7249055,3
2,7249055,4
9,7249056,3
6,7249057,3
8,7249058,3
11,7249059,3
8,7249059,4
5,7249060,2
3,7249060,3
0,7249067,2
11,7249070,3
6,7249070,4
0,7249070,5
0,7249072,6
10,7249077,3
8,7249077,4
7,7249078,3
6,7249079,2
10,7249081,5
0,7249081,6
6,7249083,6
1,7249084,4
1,7249084,7
11,7249085,2
12,7249087,4
8,7249087,5
2,7249092,3
9,7249093,3
0,7249093,4
12,7249097,3
11,7249097,4
8,7249097,5
6,7249097,6
7,7249098,3
2,7249098,4
5,7249099,5
2,7249100,4
7,7249100,5
0,7249101,5
2,7249102,3
0,7249103,3
9,7249109,4
9,7249109,5
3,7249110,5
7,7249113,4
6,7249114,3
11,7249114,4
6,7249116,3
1,7249116,4
12,7249117,4
11,7249117,5
0,7249117,6
6,7249118,5
6,7249118,3
5,7249118,4
6,7249119,4
5,7249119,5
11,7249123,3
5,7249123,4
9,7249125,2
7,7249131,3
0,7249131,4
3,7249134,2
1,7249135,3
10,7249136,4
4,7249136,5
9,7249142,3
3,7249142,6
1,7249142,7
2,7249145,3
6,7249152,3
4,7249152,4
2,7249152,5
1,7249154,5
2,7249154,7
11,7249155,5
8,7249155,6
3,7249155,7
