DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P784S4A2;P784S4A3;P784S4A4
7254597;2;1;2;8,96501158606581;AYUDA MONETARIA EN ESPECIE POR LA PANDEMIA DEL COVID 19 POR PARTE DE LA ALCALDIA;1;70000
7254625;1;1;1;25,4383443642488;MIL DIAS DEL BIENESTAR FAMILIAR;1;600000
7254769;1;1;1;7,46833470329103;REINCORPORACION A LA VIDA CIVIL;1;960000
7254843;1;1;1;51,6523358960468;PAE;2;21000
7254856;1;1;1;113,160102880436;PAE;3;270000
7254858;1;1;1;91,3098455434124;PAE;2;120000
7254863;1;1;1;277,161727627587;PAE COLEGIO;1;40000
7254863;2;1;2;277,161727627587;PAE CDI;1;100000
7254876;1;1;1;186,564914644328;JOVENES EN ACCION;1;1050000
7254995;1;1;1;100,89570824672;AYUDA HUMANITARIA MERCADO;1;150000
7255025;1;1;1;105,885783642231;AYUDA HUMANITARIA DE ALIMENTOS;1;90000
7255028;1;1;1;105,654014241828;DESCUENTO DEL IVA;1;350000
7255031;1;1;1;101,603269004379;DEVOLUCION DEL IVA;1;350000
7255074;1;1;1;55,0647412495761;JOVENES EN ACCION;1;1100000
7255123;1;1;1;43,3919105010608;MERCADO DE ALIMENTOS NO PERECEDEROS;1;100000
7255133;1;1;1;52,0618338593344;MERCADO DE ALIMENTOS NO PERECEDEROS;1;150000
7255151;1;1;1;60,1123756006606;MERCADO DE ALIMENTOS NO PERECEDEROS;1;60000
7255151;2;1;2;60,1123756006606;MERCADO DE ALIMENTOS DEL BIENESTAR FAMILIAR;1;20000
7255161;1;1;1;59,1214093947395;MERCADO DE ALIMENTOS NO PERECEDEROS;1;100000
7255222;1;1;1;47,4271301356832;DEVOLUCION DEL IVA;1;75000
7255226;1;1;1;123,918570905851;VICTIMAS;1;400000
7255253;1;1;1;264,875219822484;DEVOLUCION DEL IVA;1;225000
7255254;1;1;1;287,078457382552;DEVOLUCION DEL IVA;1;225000
7255260;1;1;1;78,6777753332703;DEVOLUCION DEL IVA;1;225000
7255261;1;1;1;107,119195511047;DEVOLUCION IVA;1;150000
7255270;1;1;1;244,514799075525;FAMILIA EN SU TIERRA;1;4000000
7255358;1;1;1;291,122293495905;AYUDA DE LA ALCALDIA;1;150000
7255376;1;1;1;280,983350778831;AYUDA DE LA ALCALDIA;1;150000
7255380;1;1;1;82,6004031913142;AYUDA DEL IVA;1;150000
7255410;1;1;1;67,414507810813;AYUDA HUMANITARIA COMIDA;1;85000
7255413;1;1;1;56,6172944241918;AYUDA HUMANITARIA COMIDA;1;80000
7255417;1;1;1;78,7033783630512;AYUDA HUMANITARIA;1;80000
7255418;1;1;1;73,5408900683586;AYUDA HUMANITARIA COMIDA;1;80000
7255421;1;1;1;86,6039426301475;AYUDA HUMANITARIA COMIDA;1;300000
7255426;1;1;1;74,2694429868785;AYUDA HUMANITARIA COMIDA;1;80000
7255428;1;1;1;80,1042716117687;AYUDA HUMANITARIA COMIDA;1;50000
7255675;1;1;1;163,016529834444;MERCADO;1;60000
7255805;1;1;1;53,8391719077126;GOBERNACION DEL HUILA;1;100000
7255826;1;1;1;111,980524336549;MERCADO;1;100000
7255885;1;1;1;112,516527662051;SECRETARIA DE LA MUJER;1;250000
7255885;2;1;2;112,516527662051;ALCALDIA;1;60000
7255910;1;1;1;185,668394341199;DEVOLUCION DEL IVA;1;140000
7255917;1;1;1;122,166150981145;DEVOLUCION DEL IVA;1;150000
7256137;1;1;1;48,4317453372477;AYUDA DE LA GOBERNACION;1;160000
7256214;1;1;1;34,5400429126471;DEVOLUCION DEL IVA;1;225000
7256216;1;1;1;68,1628496081485;DEVOLUCION DEL IVA;1;280000
7256222;1;1;1;22,8359169246159;DEVOLUCION DEL IVA;1;150000
7256224;1;1;1;50,0236532139522;AYUDAS DE PROGRAMA DE LA TERCERA EDAD;1;40000
7256237;1;1;1;32,0889787626735;PAE;1;180000
7256241;1;1;1;79,7667397616544;PAE;1;180000
7256322;1;1;1;64,2835068864457;MERCADO;1;300000
7256330;1;1;1;87,686466015177;MERCADO DE POLICIA;1;100000
7256339;1;1;1;93,0141321444897;PAE;1;50000
7256342;1;1;1;87,2097899669172;1;1;70000
7256345;1;1;1;101,845697670603;CERO SIEMPRE;1;240000
7256348;1;1;1;79,685972637166;ALCALDIA;1;50000
7256349;1;1;1;51,7489519975063;GOBERBACION;1;150000
7256445;1;1;1;96,9907175799567;DEVOLUCION DEL IVA;1;560000
7256525;1;1;1;153,367827885671;DEVOLUCION DEL IVA;1;140000
7256529;1;1;1;217,354972690665;AUXILIO DE ALIMENTACION;2;5000
7256556;1;1;1;895,617262497733;AYUDA PARA VIVIENDA;1;99
7256557;1;1;1;922,453285896498;FAMIMIAS EN ACCION;1;105000
7256625;1;1;1;228,824942641207;DEVOLUCION DEL IVA;1;300000
7256706;1;1;1;328,849169073688;DEVOLUCION DEL IVA;1;225000
7256859;1;1;1;139,178218173736;DEVOLUCION IVA;1;230000
7256880;1;1;1;45,5461817716922;DESCUENTOS DEL IVA;1;225000
7256945;1;1;1;31,0145700277878;PROROGA;1;12000000
7256965;1;1;1;150,237076405427;PAE;3;160000
7256997;1;1;1;82,5790486620741;DEVOLUCION DEL IVA;1;70000
7257026;1;1;1;43,7316715582012;DEVOLUCION DE VIDA;1;225000
7257051;1;1;1;66,4661685856586;BONO SOLIDARIO;1;480000
7257136;1;1;1;80,5414202262586;POR DESPLAZAMIENTO FORZADO;1;1500000
7257435;1;1;1;466,904449392341;IVA;1;225000
7257487;1;1;1;114,860341637356;EL IVA;1;375000
7257523;1;1;1;152,617934743451;DEVOLUCION DEL IVA;1;75000
7257539;1;1;1;34,8899032283333;ALCALDIA DEL MOLINO;1;60000
7257539;2;1;2;34,8899032283333;BANCO BBVA;1;40000
7257544;1;1;1;48,4322884186544;ALCALDIA DEL MOLINO;1;20000
7257544;2;1;2;48,4322884186544;MAS POR TI;1;15000
