"P6040","DIRECTORIO","SECUENCIA_ENCUESTA","id","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19"
60,7260111,2,"7260111-2",32169,NA,NA,NA,NA,29980,26345,103061,NA,32169,NA,29980,NA,NA,NA
73,7260114,1,"7260114-1",32175,NA,NA,10522,10410,29986,26351,103087,10522,32175,10522,29986,NA,10522,NA
63,7260114,2,"7260114-2",32176,NA,NA,NA,NA,29987,26352,103088,NA,32176,NA,29987,NA,NA,NA
66,7260116,1,"7260116-1",32185,NA,NA,10524,10412,29995,26359,103105,10524,32185,10524,29995,NA,10524,NA
78,7260118,1,"7260118-1",32191,NA,NA,10526,10414,30001,26364,103125,10526,32191,10526,30001,NA,10526,NA
73,7260119,1,"7260119-1",32194,NA,NA,10527,10415,30004,26367,103137,10527,32194,10527,30004,NA,10527,NA
79,7260119,2,"7260119-2",32195,NA,NA,NA,NA,30005,26368,103138,NA,32195,NA,30005,NA,NA,NA
74,7260122,1,"7260122-1",32204,NA,NA,10530,10418,30013,26374,103181,10530,32204,10530,30013,NA,10530,NA
62,7260126,1,"7260126-1",32216,NA,NA,10534,10422,30025,26384,103244,10534,32216,10534,30025,NA,10534,NA
81,7260135,1,"7260135-1",32239,NA,2836,10542,10430,30048,26404,103387,10542,32239,10542,30048,NA,10542,NA
60,7260135,2,"7260135-2",32240,NA,NA,NA,NA,30049,26405,103388,NA,32240,NA,30049,NA,NA,NA
82,7260137,1,"7260137-1",32247,NA,NA,10544,10432,30056,26411,103420,10544,32247,10544,30056,NA,10544,NA
67,7260139,1,"7260139-1",32255,NA,NA,10546,10434,30062,26417,103437,10546,32255,10546,30062,NA,10546,NA
66,7260142,1,"7260142-1",32264,NA,2839,10549,10437,30070,26424,103477,10549,32264,10549,30070,NA,10549,NA
89,7260143,7,"7260143-7",32274,NA,NA,NA,NA,30079,26431,103498,NA,32274,NA,30079,NA,NA,NA
62,7260150,1,"7260150-1",32283,NA,2840,10555,10443,30087,26438,103541,10555,32283,10555,30087,NA,10555,NA
60,7260154,2,"7260154-2",32295,NA,NA,NA,NA,30098,26448,103588,NA,32295,NA,30098,NA,NA,NA
64,7260158,1,"7260158-1",32304,NA,NA,10562,10450,30106,26455,103611,10562,32304,10562,30106,NA,10562,NA
61,7260159,1,"7260159-1",32305,NA,NA,10563,10451,30107,26456,103616,10563,32305,10563,30107,NA,10563,NA
69,7260160,1,"7260160-1",32306,NA,NA,10564,10452,30108,26457,103620,10564,32306,10564,30108,NA,10564,NA
81,7260166,1,"7260166-1",32321,NA,NA,10569,10457,30123,26469,NA,10569,32321,10569,30123,NA,10569,NA
64,7260168,1,"7260168-1",32323,NA,NA,10570,10458,30125,26471,103674,10570,32323,10570,30125,NA,10570,NA
61,7260170,1,"7260170-1",32325,NA,NA,10572,10460,30127,26473,103685,10572,32325,10572,30127,NA,10572,NA
80,7260171,1,"7260171-1",32327,NA,2847,10573,10461,30129,26475,103697,10573,32327,10573,30129,NA,10573,NA
89,7260174,1,"7260174-1",32338,NA,NA,10576,10464,30140,26486,103737,10576,32338,10576,30140,NA,10576,NA
61,7260176,1,"7260176-1",32342,NA,NA,10578,10466,30144,26490,103753,10578,32342,10578,30144,NA,10578,NA
63,7260178,5,"7260178-5",32349,NA,NA,NA,NA,30151,26495,103784,NA,32349,NA,30151,NA,NA,NA
71,7260181,1,"7260181-1",32360,NA,NA,10583,10471,30161,26504,103840,10583,32360,10583,30161,1019,10583,NA
67,7260181,2,"7260181-2",32361,NA,NA,NA,NA,30162,26505,103841,NA,32361,NA,30162,1020,NA,NA
84,7260185,1,"7260185-1",32378,NA,NA,10587,10475,30178,26520,103898,10587,32378,10587,30178,NA,10587,NA
64,7260189,1,"7260189-1",32390,NA,NA,10591,10479,30190,26530,103953,10591,32390,10591,30190,NA,10591,NA
66,7260192,1,"7260192-1",32400,NA,2852,10594,10482,30200,26539,103993,10594,32400,10594,30200,NA,10594,NA
68,7260192,2,"7260192-2",32401,NA,2853,NA,NA,30201,26540,103994,NA,32401,NA,30201,NA,NA,NA
66,7260193,1,"7260193-1",32406,NA,NA,10595,10483,30206,26544,104002,10595,32406,10595,30206,1021,10595,NA
67,7260193,2,"7260193-2",32407,NA,NA,NA,NA,30207,26545,104003,NA,32407,NA,30207,1022,NA,NA
62,7260195,1,"7260195-1",32411,NA,NA,10597,10485,30211,26549,104029,10597,32411,10597,30211,NA,10597,NA
62,7260195,2,"7260195-2",32412,NA,NA,NA,NA,30212,26550,104030,NA,32412,NA,30212,NA,NA,NA
67,7260197,1,"7260197-1",32414,NA,NA,10599,10487,30214,26552,104061,10599,32414,10599,30214,NA,10599,NA
67,7260198,1,"7260198-1",32418,NA,NA,10600,10488,30217,26554,104063,10600,32418,10600,30217,NA,10600,NA
69,7260200,1,"7260200-1",32423,NA,NA,10602,10490,30222,26559,104090,10602,32423,10602,30222,NA,10602,NA
86,7260202,1,"7260202-1",32433,NA,NA,10604,10492,30231,26566,104117,10604,32433,10604,30231,NA,10604,NA
76,7260202,3,"7260202-3",32435,NA,NA,NA,NA,30233,26568,104119,NA,32435,NA,30233,NA,NA,NA
83,7260202,4,"7260202-4",32436,NA,NA,NA,NA,30234,26569,104120,NA,32436,NA,30234,NA,NA,NA
70,7260206,1,"7260206-1",32456,NA,NA,10610,10496,30253,26588,104196,10610,32456,10610,30253,NA,10610,NA
66,7260208,1,"7260208-1",32467,NA,NA,10612,10498,30262,26596,104226,10612,32467,10612,30262,NA,10612,NA
71,7260213,1,"7260213-1",32482,NA,NA,10617,10503,30276,26608,104296,10617,32482,10617,30276,NA,10617,NA
68,7260214,1,"7260214-1",32484,NA,NA,10618,10504,30278,26610,104311,10618,32484,10618,30278,NA,10618,NA
72,7260216,1,"7260216-1",32491,314,NA,10620,10506,30285,26617,104327,10620,32491,10620,30285,NA,10620,NA
64,7260219,1,"7260219-1",32499,NA,NA,10623,10509,30293,26625,104358,10623,32499,10623,30293,NA,10623,NA
70,7260222,1,"7260222-1",32506,NA,2861,10626,10512,30300,26631,104379,10626,32506,10626,30300,NA,10626,NA
67,7260222,2,"7260222-2",32507,NA,NA,NA,NA,30301,26632,104380,NA,32507,NA,30301,NA,NA,NA
83,7260224,1,"7260224-1",32511,315,NA,10628,10514,30305,26636,104394,10628,32511,10628,30305,NA,10628,NA
69,7260225,1,"7260225-1",32513,NA,NA,10629,10515,30307,26638,104396,10629,32513,10629,30307,NA,10629,NA
81,7260227,1,"7260227-1",32519,NA,NA,10631,10517,30312,26643,104413,10631,32519,10631,30312,NA,10631,NA
61,7260229,1,"7260229-1",32522,318,2863,10633,10519,30315,26646,104432,10633,32522,10633,30315,NA,10633,NA
70,7260230,1,"7260230-1",32526,NA,NA,10634,10520,30319,26650,104444,10634,32526,10634,30319,NA,10634,NA
66,7260232,1,"7260232-1",32529,NA,NA,10636,10522,30322,26653,104462,10636,32529,10636,30322,NA,10636,NA
74,7260237,1,"7260237-1",32537,NA,NA,10639,10525,30330,26659,104483,10639,32537,10639,30330,NA,10639,NA
84,7260242,1,"7260242-1",32543,NA,NA,10642,10528,30336,26664,104496,10642,32543,10642,30336,NA,10642,NA
74,7260242,2,"7260242-2",32544,NA,NA,NA,NA,30337,26665,104497,NA,32544,NA,30337,NA,NA,NA
69,7260245,1,"7260245-1",32555,NA,NA,10645,10531,30348,26675,104551,10645,32555,10645,30348,NA,10645,NA
84,7260250,1,"7260250-1",32562,NA,NA,10648,10534,30355,26682,104580,10648,32562,10648,30355,NA,10648,NA
73,7260250,2,"7260250-2",32563,NA,NA,NA,NA,30356,26683,104581,NA,32563,NA,30356,NA,NA,NA
60,7260252,1,"7260252-1",32566,NA,NA,10650,10536,30359,26686,104600,10650,32566,10650,30359,NA,10650,NA
74,7260253,1,"7260253-1",32568,NA,NA,10651,10537,30361,26688,104609,10651,32568,10651,30361,NA,10651,NA
63,7260255,2,"7260255-2",32570,NA,NA,NA,NA,30363,26690,104611,NA,32570,NA,30363,NA,NA,NA
71,7260256,1,"7260256-1",32571,NA,NA,10653,10539,30364,26691,104622,10653,32571,10653,30364,NA,10653,NA
72,7260261,3,"7260261-3",32583,NA,NA,NA,NA,30375,26701,104654,NA,32583,NA,30375,NA,NA,NA
75,7260265,1,"7260265-1",32586,NA,NA,10658,10544,30378,26704,104665,10658,32586,10658,30378,NA,10658,NA
69,7260266,1,"7260266-1",32587,NA,NA,10659,10545,30379,26705,104674,10659,32587,10659,30379,NA,10659,NA
85,7260280,6,"7260280-6",32599,NA,NA,NA,NA,30390,26715,104714,NA,32599,NA,30390,NA,NA,NA
65,7260285,1,"7260285-1",32610,NA,2868,10667,10553,30401,26726,104770,10667,32610,10667,30401,NA,10667,NA
70,7260286,1,"7260286-1",32613,NA,NA,10668,10554,30404,26728,104786,10668,32613,10668,30404,NA,10668,NA
78,7260295,7,"7260295-7",32640,NA,NA,NA,NA,30428,26748,104887,NA,32640,NA,30428,NA,NA,NA
71,7260309,1,"7260309-1",32683,NA,NA,10687,10573,30466,26786,105036,10687,32683,10687,30466,NA,10687,NA
70,7260310,1,"7260310-1",32684,NA,NA,10688,10574,30467,26787,105049,10688,32684,10688,30467,NA,10688,NA
61,7260314,1,"7260314-1",32691,NA,NA,10692,10578,30474,26794,105097,10692,32691,10692,30474,NA,10692,NA
63,7260314,2,"7260314-2",32692,NA,NA,NA,NA,30475,26795,105098,NA,32692,NA,30475,NA,NA,NA
62,7260317,3,"7260317-3",32702,NA,NA,NA,NA,30484,26801,105136,NA,32702,NA,30484,NA,NA,NA
74,7260323,1,"7260323-1",32721,NA,NA,10701,10587,30503,26816,105209,10701,32721,10701,30503,NA,10701,NA
71,7260328,1,"7260328-1",32735,NA,NA,10706,10592,30516,26828,105261,10706,32735,10706,30516,NA,10706,NA
83,7260328,2,"7260328-2",32736,NA,NA,NA,NA,30517,26829,105262,NA,32736,NA,30517,NA,NA,NA
65,7260329,1,"7260329-1",32737,NA,NA,10707,10593,30518,26830,105267,10707,32737,10707,30518,NA,10707,NA
65,7260329,2,"7260329-2",32738,NA,NA,NA,NA,30519,26831,105268,NA,32738,NA,30519,NA,NA,NA
61,7260334,1,"7260334-1",32757,NA,NA,10712,10598,30536,26846,105328,10712,32757,10712,30536,NA,10712,NA
75,7260339,1,"7260339-1",32759,NA,NA,10714,10600,30538,26848,105339,10714,32759,10714,30538,NA,10714,NA
67,7260339,2,"7260339-2",32760,NA,NA,NA,NA,30539,26849,105340,NA,32760,NA,30539,NA,NA,NA
72,7260353,1,"7260353-1",32784,NA,NA,10722,10608,30562,26870,105437,10722,32784,10722,30562,NA,10722,NA
61,7260353,2,"7260353-2",32785,NA,NA,NA,NA,30563,26871,105438,NA,32785,NA,30563,NA,NA,NA
73,7260360,1,"7260360-1",32808,NA,NA,10728,10614,30585,26889,105497,10728,32808,10728,30585,NA,10728,NA
72,7260360,2,"7260360-2",32809,NA,NA,NA,NA,30586,26890,105498,NA,32809,NA,30586,NA,NA,NA
70,7260363,1,"7260363-1",32813,NA,NA,10731,10617,30590,26894,105543,10731,32813,10731,30590,NA,10731,NA
70,7260364,1,"7260364-1",32814,NA,NA,10732,10618,30591,26895,105555,10732,32814,10732,30591,NA,10732,NA
70,7260370,2,"7260370-2",32836,NA,NA,NA,NA,30611,26913,105635,NA,32836,NA,30611,NA,NA,NA
68,7260374,1,"7260374-1",32848,NA,NA,10742,10628,30622,26924,105664,10742,32848,10742,30622,NA,10742,NA
74,7260375,1,"7260375-1",32849,NA,NA,10743,10629,30623,26925,105672,10743,32849,10743,30623,NA,10743,NA
67,7260379,1,"7260379-1",32856,NA,NA,10746,10632,30630,26931,105715,10746,32856,10746,30630,NA,10746,NA
67,7260383,1,"7260383-1",32867,NA,NA,10750,10636,30641,26942,105760,10750,32867,10750,30641,NA,10750,NA
64,7260383,2,"7260383-2",32868,NA,NA,NA,NA,30642,26943,105761,NA,32868,NA,30642,NA,NA,NA
66,7260384,1,"7260384-1",32869,NA,NA,10751,10637,30643,26944,105765,10751,32869,10751,30643,NA,10751,NA
62,7260384,2,"7260384-2",32870,NA,NA,NA,NA,30644,26945,105766,NA,32870,NA,30644,NA,NA,NA
61,7260385,1,"7260385-1",32872,NA,NA,10752,10638,30646,26947,105779,10752,32872,10752,30646,NA,10752,NA
71,7260386,1,"7260386-1",32873,NA,NA,10753,10639,30647,26948,105786,10753,32873,10753,30647,NA,10753,NA
83,7260387,1,"7260387-1",32876,NA,NA,10754,10640,30650,26950,105796,10754,32876,10754,30650,NA,10754,NA
81,7260387,2,"7260387-2",32877,NA,NA,NA,NA,30651,26951,105797,NA,32877,NA,30651,NA,NA,NA
61,7260392,2,"7260392-2",32890,NA,NA,NA,NA,30661,26959,105825,NA,32890,NA,30661,NA,NA,NA
76,7260395,1,"7260395-1",32903,NA,NA,10760,10646,30673,26970,105858,10760,32903,10760,30673,1035,10760,NA
60,7260395,2,"7260395-2",32904,NA,NA,NA,NA,30674,26971,105859,NA,32904,NA,30674,1036,NA,NA
72,7260398,1,"7260398-1",32916,NA,NA,10763,10649,30684,26979,105898,10763,32916,10763,30684,1037,10763,NA
73,7260398,2,"7260398-2",32917,NA,NA,NA,NA,30685,26980,105899,NA,32917,NA,30685,1038,NA,NA
83,7260420,1,"7260420-1",32973,NA,NA,10782,10668,30732,27021,105978,10782,32973,10782,30732,NA,10782,NA
69,7260425,1,"7260425-1",32983,NA,NA,10785,10671,30742,27027,NA,10785,32983,10785,30742,NA,10785,NA
83,7260435,1,"7260435-1",33000,NA,NA,10794,10680,30758,27042,106036,10794,33000,10794,30758,1041,10794,NA
79,7260435,2,"7260435-2",33001,NA,NA,NA,NA,30759,27043,106037,NA,33001,NA,30759,1042,NA,NA
61,7260454,1,"7260454-1",33032,NA,NA,10810,10696,30787,27070,106225,10810,33032,10810,30787,NA,10810,NA
60,7260459,1,"7260459-1",33041,NA,NA,10814,10700,30795,27077,106269,10814,33041,10814,30795,1043,10814,NA
72,7260460,1,"7260460-1",33047,NA,2894,10815,10701,30800,27082,106277,10815,33047,10815,30800,NA,10815,NA
66,7260463,1,"7260463-1",33058,NA,NA,10818,10704,30811,27092,106319,10818,33058,10818,30811,NA,10818,NA
63,7260465,2,"7260465-2",33065,NA,NA,NA,NA,30817,27097,106339,NA,33065,NA,30817,NA,NA,NA
60,7260468,2,"7260468-2",33072,NA,NA,NA,NA,30824,27104,106352,NA,33072,NA,30824,NA,NA,NA
72,7260469,1,"7260469-1",33074,NA,NA,10823,10709,30826,27106,106357,10823,33074,10823,30826,1047,10823,NA
62,7260469,2,"7260469-2",33075,NA,NA,NA,NA,30827,27107,106358,NA,33075,NA,30827,1048,NA,NA
62,7260471,5,"7260471-5",33084,NA,NA,NA,NA,30836,27115,106396,NA,33084,NA,30836,NA,NA,NA
64,7260472,1,"7260472-1",33085,NA,NA,10826,10712,30837,27116,106404,10826,33085,10826,30837,NA,10826,NA
77,7260473,1,"7260473-1",33088,NA,NA,10827,10713,30840,27119,106417,10827,33088,10827,30840,1049,10827,NA
74,7260473,2,"7260473-2",33089,NA,NA,NA,NA,30841,27120,106418,NA,33089,NA,30841,1050,NA,NA
60,7260474,1,"7260474-1",33090,NA,NA,10828,10714,30842,27121,106423,10828,33090,10828,30842,NA,10828,NA
70,7260475,1,"7260475-1",33091,NA,NA,10829,10715,30843,27122,106432,10829,33091,10829,30843,1051,10829,NA
64,7260475,2,"7260475-2",33092,NA,NA,NA,NA,30844,27123,106433,NA,33092,NA,30844,1052,NA,NA
72,7260480,1,"7260480-1",33102,NA,NA,10834,10720,30853,27131,106480,10834,33102,10834,30853,NA,10834,NA
73,7260483,1,"7260483-1",33109,NA,NA,10837,10723,30860,27138,106509,10837,33109,10837,30860,NA,10837,NA
66,7260485,1,"7260485-1",33115,NA,NA,10839,10725,30865,27142,106520,10839,33115,10839,30865,NA,10839,NA
64,7260485,2,"7260485-2",33116,NA,NA,NA,NA,30866,27143,106521,NA,33116,NA,30866,NA,NA,NA
71,7260486,1,"7260486-1",33120,NA,NA,10840,10726,30870,27146,106522,10840,33120,10840,30870,NA,10840,NA
62,7260487,1,"7260487-1",33126,NA,NA,10841,10727,30873,27149,106530,10841,33126,10841,30873,NA,10841,NA
65,7260491,1,"7260491-1",33133,NA,NA,10843,10729,30880,27156,106572,10843,33133,10843,30880,1053,10843,NA
63,7260491,2,"7260491-2",33134,NA,NA,NA,NA,30881,27157,106573,NA,33134,NA,30881,1054,NA,NA
73,7260496,1,"7260496-1",33155,NA,NA,10848,10734,30899,27172,106615,10848,33155,10848,30899,1055,10848,NA
67,7260496,2,"7260496-2",33156,NA,NA,NA,NA,30900,27173,106616,NA,33156,NA,30900,1056,NA,NA
84,7260500,4,"7260500-4",33166,NA,NA,NA,NA,30910,27182,106640,NA,33166,NA,30910,NA,NA,NA
81,7260500,5,"7260500-5",33167,NA,NA,NA,NA,30911,27183,106641,NA,33167,NA,30911,NA,NA,NA
79,7260500,6,"7260500-6",33168,NA,NA,NA,NA,30912,27184,106642,NA,33168,NA,30912,NA,NA,NA
62,7260503,1,"7260503-1",33173,NA,NA,10854,10740,30917,27188,106673,10854,33173,10854,30917,NA,10854,NA
62,7260503,2,"7260503-2",33174,NA,NA,NA,NA,30918,27189,106674,NA,33174,NA,30918,NA,NA,NA
64,7260504,1,"7260504-1",33176,NA,NA,10855,10741,30920,27191,NA,10855,33176,10855,30920,NA,10855,NA
86,7260504,2,"7260504-2",33177,NA,NA,NA,NA,30921,27192,NA,NA,33177,NA,30921,NA,NA,NA
69,7260506,1,"7260506-1",33181,NA,NA,10857,10743,30925,27195,NA,10857,33181,10857,30925,NA,10857,NA
70,7260506,2,"7260506-2",33182,NA,NA,NA,NA,30926,27196,NA,NA,33182,NA,30926,NA,NA,NA
79,7260509,1,"7260509-1",33187,NA,NA,10860,10746,30931,27201,106686,10860,33187,10860,30931,NA,10860,NA
61,7260511,1,"7260511-1",33193,NA,NA,10862,10748,30937,27206,106710,10862,33193,10862,30937,NA,10862,NA
63,7260522,1,"7260522-1",33219,NA,NA,10872,10758,30961,27228,106821,10872,33219,10872,30961,NA,10872,NA
75,7260524,1,"7260524-1",33226,NA,NA,10874,10760,30967,27234,106854,10874,33226,10874,30967,1059,10874,NA
69,7260524,2,"7260524-2",33227,NA,NA,NA,NA,30968,27235,106855,NA,33227,NA,30968,1060,NA,NA
62,7260525,2,"7260525-2",33230,NA,NA,NA,NA,30971,27238,106881,NA,33230,NA,30971,NA,NA,NA
66,7260531,1,"7260531-1",33243,NA,NA,10880,10766,30983,27249,106970,10880,33243,10880,30983,NA,10880,NA
66,7260533,1,"7260533-1",33248,NA,NA,10882,10768,30988,27253,107028,10882,33248,10882,30988,NA,10882,NA
63,7260533,2,"7260533-2",33249,NA,NA,NA,NA,30989,27254,107029,NA,33249,NA,30989,NA,NA,NA
63,7260536,1,"7260536-1",33252,NA,NA,10884,10770,30992,27257,107038,10884,33252,10884,30992,NA,10884,NA
91,7260538,1,"7260538-1",33255,NA,NA,10885,10771,30994,27259,107042,10885,33255,10885,30994,NA,10885,NA
63,7260542,2,"7260542-2",33266,NA,NA,NA,NA,31005,27268,107057,NA,33266,NA,31005,NA,NA,NA
66,7260546,1,"7260546-1",33275,NA,NA,10893,10779,31014,27276,107088,10893,33275,10893,31014,1061,10893,NA
61,7260546,2,"7260546-2",33276,NA,NA,NA,NA,31015,27277,NA,NA,33276,NA,31015,1062,NA,NA
82,7260548,4,"7260548-4",33284,NA,NA,NA,NA,31023,27285,107093,NA,33284,NA,31023,NA,NA,NA
77,7260554,3,"7260554-3",33295,NA,NA,NA,NA,31034,27295,107160,NA,33295,NA,31034,NA,NA,NA
64,7260558,1,"7260558-1",33301,NA,NA,10903,10789,31040,27301,107196,10903,33301,10903,31040,NA,10903,NA
68,7260560,1,"7260560-1",33306,NA,NA,10904,10790,31045,27306,107198,10904,33306,10904,31045,1065,10904,NA
67,7260560,2,"7260560-2",33307,NA,NA,NA,NA,31046,27307,107199,NA,33307,NA,31046,1066,NA,NA
66,7260565,1,"7260565-1",33313,NA,NA,10907,10793,31052,27312,107226,10907,33313,10907,31052,NA,10907,NA
74,7260566,2,"7260566-2",33316,NA,NA,NA,NA,31055,27315,107229,NA,33316,NA,31055,NA,NA,NA
78,7260568,1,"7260568-1",33323,NA,NA,10910,10796,31061,27320,107234,10910,33323,10910,31061,NA,10910,NA
65,7260574,1,"7260574-1",33338,NA,NA,10915,10801,31076,27333,107286,10915,33338,10915,31076,1069,10915,NA
65,7260574,2,"7260574-2",33339,NA,NA,NA,NA,31077,27334,107287,NA,33339,NA,31077,1070,NA,NA
62,7260575,1,"7260575-1",33340,NA,NA,10916,10802,31078,27335,107289,10916,33340,10916,31078,1071,10916,NA
65,7260583,1,"7260583-1",33362,NA,NA,10921,10807,31099,27356,107344,10921,33362,10921,31099,NA,10921,NA
90,7260585,1,"7260585-1",33365,NA,NA,10923,10809,31102,27359,107357,10923,33365,10923,31102,NA,10923,NA
78,7260586,3,"7260586-3",33372,NA,NA,NA,NA,31109,27366,107361,NA,33372,NA,31109,NA,NA,NA
61,7260587,1,"7260587-1",33373,NA,NA,10925,10811,31110,27367,107362,10925,33373,10925,31110,NA,10925,NA
61,7260589,1,"7260589-1",33375,NA,NA,10926,10812,31112,27369,NA,10926,33375,10926,31112,NA,10926,NA
66,7260589,2,"7260589-2",33376,NA,NA,NA,NA,31113,27370,NA,NA,33376,NA,31113,NA,NA,NA
75,7260590,1,"7260590-1",33377,NA,NA,10927,10813,31114,27371,107379,10927,33377,10927,31114,NA,10927,NA
68,7260596,1,"7260596-1",33386,NA,NA,10933,10819,31123,27380,107425,10933,33386,10933,31123,NA,10933,NA
63,7260596,2,"7260596-2",33387,NA,NA,NA,NA,31124,27381,107426,NA,33387,NA,31124,NA,NA,NA
70,7260597,1,"7260597-1",33388,NA,NA,10934,10820,31125,27382,107429,10934,33388,10934,31125,NA,10934,NA
67,7260597,2,"7260597-2",33389,NA,NA,NA,NA,31126,27383,107430,NA,33389,NA,31126,NA,NA,NA
79,7260599,1,"7260599-1",33395,NA,NA,10936,10822,31132,27388,107439,10936,33395,10936,31132,NA,10936,NA
64,7260599,2,"7260599-2",33396,NA,NA,NA,NA,31133,27389,107440,NA,33396,NA,31133,NA,NA,NA
60,7260606,1,"7260606-1",33406,NA,NA,10941,10827,31143,27396,107484,10941,33406,10941,31143,NA,10941,NA
63,7260608,1,"7260608-1",33409,NA,NA,10942,10828,31146,27399,107495,10942,33409,10942,31146,NA,10942,NA
62,7260613,2,"7260613-2",33421,NA,NA,NA,NA,31156,27407,107517,NA,33421,NA,31156,NA,NA,NA
76,7260620,1,"7260620-1",33436,NA,NA,10950,10836,31171,27420,107547,10950,33436,10950,31171,NA,10950,NA
62,7260625,1,"7260625-1",33447,NA,NA,10954,10840,31182,27430,107570,10954,33447,10954,31182,NA,10954,NA
63,7260626,2,"7260626-2",33452,NA,NA,NA,NA,31187,27435,107580,NA,33452,NA,31187,NA,NA,NA
67,7260627,1,"7260627-1",33454,327,NA,10956,10842,31189,27437,107584,10956,33454,10956,31189,NA,10956,NA
68,7260627,2,"7260627-2",33455,NA,NA,NA,NA,31190,27438,107585,NA,33455,NA,31190,NA,NA,NA
62,7260644,6,"7260644-6",33494,NA,NA,NA,NA,31224,27468,107677,NA,33494,NA,31224,NA,NA,NA
68,7260659,1,"7260659-1",33534,NA,NA,10982,10868,31261,27498,107786,10982,33534,10982,31261,NA,10982,NA
74,7260659,2,"7260659-2",33535,NA,NA,NA,NA,31262,27499,107787,NA,33535,NA,31262,NA,NA,NA
65,7260672,1,"7260672-1",33568,NA,NA,10993,10879,31294,27527,107838,10993,33568,10993,31294,NA,10993,NA
63,7260681,1,"7260681-1",33581,NA,NA,10998,10884,31306,27537,107851,10998,33581,10998,31306,NA,10998,NA
61,7260686,2,"7260686-2",33588,NA,NA,NA,NA,31313,27544,107855,NA,33588,NA,31313,NA,NA,NA
77,7260690,1,"7260690-1",33599,NA,NA,11004,10890,31324,27553,107867,11004,33599,11004,31324,1079,11004,NA
82,7260690,2,"7260690-2",33600,NA,NA,NA,NA,31325,27554,107868,NA,33600,NA,31325,1080,NA,NA
64,7260692,5,"7260692-5",33608,NA,NA,NA,NA,31333,27560,NA,NA,33608,NA,31333,NA,NA,NA
70,7260693,1,"7260693-1",33609,NA,NA,11007,10893,31334,27561,107885,11007,33609,11007,31334,NA,11007,NA
65,7260697,1,"7260697-1",33616,NA,NA,11011,10897,31341,27568,107909,11011,33616,11011,31341,NA,11011,NA
79,7260701,1,"7260701-1",33629,NA,NA,11015,10901,31354,27579,107942,11015,33629,11015,31354,NA,11015,NA
72,7260701,2,"7260701-2",33630,NA,NA,NA,NA,31355,27580,107943,NA,33630,NA,31355,NA,NA,NA
72,7260708,1,"7260708-1",33650,NA,NA,11022,10908,31372,27593,107989,11022,33650,11022,31372,NA,11022,NA
63,7260709,2,"7260709-2",33652,NA,NA,NA,NA,31374,27595,107998,NA,33652,NA,31374,NA,NA,NA
63,7260712,1,"7260712-1",33659,NA,NA,11026,10912,31380,27600,108024,11026,33659,11026,31380,NA,11026,NA
81,7260712,2,"7260712-2",33660,NA,NA,NA,NA,31381,27601,108025,NA,33660,NA,31381,NA,NA,NA
66,7260713,1,"7260713-1",33661,NA,NA,11027,10913,31382,27602,108031,11027,33661,11027,31382,NA,11027,NA
64,7260719,1,"7260719-1",33675,NA,NA,11031,10917,31395,27614,108066,11031,33675,11031,31395,NA,11031,NA
66,7260719,2,"7260719-2",33676,NA,NA,NA,NA,31396,27615,108067,NA,33676,NA,31396,NA,NA,NA
66,7260722,1,"7260722-1",33686,NA,NA,11034,10920,31405,27623,108107,11034,33686,11034,31405,NA,11034,NA
70,7260724,2,"7260724-2",33695,NA,NA,NA,NA,31414,27631,108123,NA,33695,NA,31414,1082,NA,NA
84,7260724,3,"7260724-3",33696,NA,NA,NA,NA,31415,27632,108124,NA,33696,NA,31415,NA,NA,NA
72,7260727,1,"7260727-1",33703,NA,NA,11039,10925,31421,27638,NA,11039,33703,11039,31421,NA,11039,NA
65,7260743,1,"7260743-1",33756,NA,NA,11055,10941,31470,27678,108361,11055,33756,11055,31470,NA,11055,NA
76,7260748,4,"7260748-4",33783,NA,NA,NA,NA,31494,27698,108414,NA,33783,NA,31494,NA,NA,NA
64,7260750,1,"7260750-1",33793,NA,NA,11062,10948,31502,27706,108449,11062,33793,11062,31502,1089,11062,NA
60,7260750,2,"7260750-2",33794,NA,NA,NA,NA,31503,27707,108450,NA,33794,NA,31503,1090,NA,NA
62,7260751,2,"7260751-2",33796,NA,NA,NA,NA,31505,27709,108469,NA,33796,NA,31505,1092,NA,NA
80,7260752,1,"7260752-1",33799,NA,NA,11064,10950,31508,27712,108477,11064,33799,11064,31508,NA,11064,NA
68,7260770,2,"7260770-2",33834,NA,NA,NA,NA,31541,27740,108564,NA,33834,NA,31541,NA,NA,NA
63,7260772,1,"7260772-1",33838,NA,NA,11077,10963,31545,27743,108582,11077,33838,11077,31545,NA,11077,NA
60,7260772,2,"7260772-2",33839,NA,NA,NA,NA,31546,27744,108583,NA,33839,NA,31546,NA,NA,NA
60,7260779,1,"7260779-1",33853,NA,NA,11082,10968,31560,27758,108611,11082,33853,11082,31560,1097,11082,NA
70,7260786,1,"7260786-1",33855,NA,NA,11083,10969,31562,27760,NA,11083,33855,11083,31562,NA,11083,NA
61,7260796,1,"7260796-1",33873,329,NA,11089,10975,31580,27777,108644,11089,33873,11089,31580,NA,11089,NA
67,7260799,1,"7260799-1",33884,NA,NA,11091,10977,31589,27785,108669,11091,33884,11091,31589,NA,11091,NA
78,7260809,1,"7260809-1",33905,331,NA,11099,10985,31609,27801,108755,11099,33905,11099,31609,NA,11099,NA
