"P6040","DIRECTORIO","SECUENCIA_ENCUESTA","id","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19"
68,7372230,1,"7372230-1",192190,NA,NA,62917,62443,177916,155367,612376,62917,192190,62917,177916,NA,62917,NA
64,7372232,1,"7372232-1",192191,NA,16239,62918,62444,177917,155368,612385,62918,192191,62918,177917,NA,62918,NA
69,7372234,1,"7372234-1",192201,NA,NA,62920,62446,177925,155375,612386,62920,192201,62920,177925,NA,62920,NA
75,7372234,2,"7372234-2",192202,NA,NA,NA,NA,177926,155376,612387,NA,192202,NA,177926,NA,NA,NA
65,7372243,1,"7372243-1",192223,NA,NA,62926,62452,177943,155389,612425,62926,192223,62926,177943,NA,62926,NA
65,7372243,2,"7372243-2",192224,NA,NA,NA,NA,177944,155390,612426,NA,192224,NA,177944,NA,NA,NA
76,7372244,1,"7372244-1",192226,NA,NA,62927,62453,177946,155392,NA,62927,192226,62927,177946,NA,62927,NA
68,7372247,1,"7372247-1",192234,NA,16244,62930,62456,177953,155397,612439,62930,192234,62930,177953,NA,62930,NA
60,7372248,4,"7372248-4",192245,NA,NA,NA,NA,177963,155406,NA,NA,192245,NA,177963,NA,NA,NA
66,7372249,1,"7372249-1",192247,NA,NA,62932,62458,177965,155408,612441,62932,192247,62932,177965,NA,62932,NA
62,7372260,1,"7372260-1",192266,NA,NA,62938,62464,177983,155422,612465,62938,192266,62938,177983,NA,62938,NA
90,7372260,2,"7372260-2",192267,NA,NA,NA,NA,177984,155423,NA,NA,192267,NA,177984,NA,NA,NA
67,7372260,4,"7372260-4",192269,NA,NA,NA,NA,177986,155425,NA,NA,192269,NA,177986,NA,NA,NA
72,7372274,1,"7372274-1",192306,NA,NA,62951,62477,178020,155452,NA,62951,192306,62951,178020,NA,62951,NA
60,7372278,1,"7372278-1",192323,NA,NA,62955,62481,178036,155465,612600,62955,192323,62955,178036,NA,62955,NA
83,7372278,6,"7372278-6",192328,NA,NA,NA,NA,178040,155468,612605,NA,192328,NA,178040,NA,NA,NA
